"EDICION","ANIO","TLOC","EST_DIS","UPM_DIS","REGION","FOLIO","VIV_SEL","HOGAR","N_REN","P3_2","P3_5","P4_1","P4_5","P5_1_3","P5_1_4","P5_1_6","P5_1_5","P5_1_1","P5_1_2","P6_1_4","P6_1_3","P6_1_1","P6_1_2","P6_1_5","P9_1","P10_1","P11_3_1","P11_3_2","P11_3_4","P14_1","GRA","NIV","P10_4","P3_11","P5_23","P6_2_2","P6_17","P8_1","P10_7","P11_3_9","P14_2_3","P14_2_2","P14_2_1","P14_2_4","SEXO","EDAD","FAC_HOG","P1_1","P1_2","FAC_VIV"
3,2021,1,3,1,3,1,1,1,1,4,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,1,2,2,1,2,2,83,1841,2,1,1841
3,2021,1,3,1,3,2,2,1,1,6,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,3,3,2,1,2,2,2,2,1,2,2,2,2,2,2,33,1841,4,1,1841
3,2021,1,3,1,3,3,3,1,4,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,3,2,1,2,2,2,2,2,1,30,1841,7,1,1841
3,2021,1,3,1,3,4,4,1,1,3,5,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,1841,4,1,1841
3,2021,1,3,1,3,5,5,1,1,5,8,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,5,2,1,2,2,2,3,2,1,2,2,1,1,2,1,70,1841,8,1,1841
3,2021,1,4,2,3,6,1,1,4,6,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,6,1,1,1,2,2,2,2,2,2,2,2,2,2,20,1273,6,1,1273
3,2021,1,4,2,3,7,2,1,1,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2,2,2,2,2,3,2,2,1,2,2,2,2,2,70,1273,1,1,1273
3,2021,1,4,2,3,8,4,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,6,1,1,2,2,3,2,1,1,2,2,2,2,1,28,1273,2,1,1273
3,2021,1,4,2,3,9,5,1,1,5,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,5,8,1,1,1,1,2,1,2,2,1,1,1,2,1,45,1273,2,1,1273
3,2021,1,4,3,3,10,1,1,4,6,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,5,8,1,1,2,1,2,1,1,1,2,1,2,2,1,29,733,4,1,733
3,2021,1,4,3,3,11,2,1,1,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,3,8,1,2,2,2,3,2,1,2,2,1,2,2,1,77,733,4,1,733
3,2021,1,4,3,3,12,3,1,2,5,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,33,733,4,1,733
3,2021,1,4,3,3,13,4,1,1,6,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,8,1,2,2,2,2,2,2,2,2,2,2,2,2,80,733,2,1,733
3,2021,1,4,3,3,14,5,1,3,6,8,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,2,2,1,2,2,2,2,2,2,2,2,2,2,62,733,3,1,733
3,2021,1,4,4,3,15,1,1,2,5,8,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,3,3,1,1,1,2,2,1,2,2,2,2,2,2,2,56,1256,5,1,1256
3,2021,1,4,4,3,16,2,1,3,6,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,6,2,2,2,2,2,3,2,1,1,2,2,2,2,2,51,1256,3,1,1256
3,2021,1,4,4,3,17,3,1,1,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,6,2,2,2,1,2,2,1,2,2,2,1,1,2,1,68,1256,3,1,1256
3,2021,1,4,4,3,18,4,1,1,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6,2,1,2,2,2,2,2,2,2,2,2,1,2,2,72,1256,3,1,1256
3,2021,1,4,5,3,19,1,1,1,6,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,5,8,1,1,2,2,1,2,1,1,2,2,2,2,2,37,1357,1,1,1357
3,2021,1,4,5,3,20,2,1,2,6,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,4,8,2,1,1,2,3,1,1,2,2,2,2,2,2,32,1357,2,1,1357
3,2021,1,4,5,3,21,3,1,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1,1,2,1,2,1,1,2,2,1,1,2,1,67,1357,3,1,1357
3,2021,1,4,5,3,22,4,1,5,6,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,3,6,1,1,2,2,2,2,2,2,2,2,2,2,1,20,1357,2,1,1357
3,2021,1,4,5,3,23,5,1,1,4,6,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,4,8,1,1,2,2,2,1,2,2,2,1,2,2,2,49,1357,3,1,1357
3,2021,1,5,6,3,24,1,1,1,4,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,8,1,1,1,2,3,1,2,2,1,1,1,2,2,83,1377,2,2,1377
3,2021,1,5,6,3,24,1,2,1,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,6,2,1,1,1,2,3,2,1,2,2,1,1,2,2,49,1377,2,2,1377
3,2021,1,5,6,3,25,2,1,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,8,1,1,2,1,2,1,1,2,2,1,1,2,2,57,1377,2,1,1377
3,2021,1,5,6,3,26,3,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,3,9,1,1,2,1,2,1,1,2,2,1,1,2,2,63,1377,2,1,1377
3,2021,1,5,6,3,27,5,1,5,5,5,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,5,8,1,1,1,1,2,1,2,2,2,2,1,2,2,50,1377,5,1,1377
3,2021,1,4,7,3,28,1,1,2,5,5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,3,2,2,1,2,2,2,2,2,60,1124,2,1,1124
3,2021,1,4,7,3,29,2,1,1,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,3,6,1,1,2,2,2,1,2,2,2,1,1,2,1,41,1124,5,1,1124
3,2021,1,4,7,3,30,3,1,1,5,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,6,2,1,1,1,2,2,2,2,2,2,2,1,2,1,65,1124,3,1,1124
3,2021,1,4,7,3,31,4,1,2,6,1,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,3,6,1,1,1,2,2,1,2,2,2,1,1,2,1,34,1124,2,1,1124
3,2021,1,4,7,3,32,5,1,2,5,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,2,1,2,1,3,6,1,1,2,2,1,2,2,2,2,2,2,2,2,38,1124,6,1,1124
3,2021,1,4,8,3,33,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2,2,2,2,2,1,2,1,1,2,2,1,2,2,63,1398,1,1,1398
3,2021,1,4,8,3,34,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,5,8,1,1,1,1,1,1,1,2,2,1,1,2,2,35,1398,4,1,1398
3,2021,1,4,8,3,35,4,1,1,5,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,3,1,1,2,2,3,2,1,2,2,2,1,2,1,67,1398,5,1,1398
3,2021,1,4,8,3,36,5,1,1,5,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,1,1,2,2,1,2,1,1,1,1,1,2,1,34,1398,4,1,1398
