"VIV_SEL","HOGAR","P3_2","P3_5","P4_1","P4_5","P5_1_3","P5_1_4","P5_1_6","P5_1_5","P5_1_1","P5_1_2","P6_1_4","P6_1_3","P6_1_1","P6_1_2","P6_1_5","P9_1","P10_1","P11_3_1","P11_3_2","P11_3_4","P14_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","FOLIO","FAC_ELE","GRA","NIV","P10_4","N_REN","P3_11","P5_23","P6_2_2","P6_17","P8_1","P10_7","P11_3_9","P14_2_3","P14_2_2","P14_2_1","P14_2_4","EDICION","REGION"
1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,41,3,13,3361628,16369,3,3,2,2,1,1,2,1,2,1,1,2,1,2,2,1,
5,1,4,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,69,2,19,3362301,19623,0,0,2,3,2,2,2,3,2,2,1,2,2,1,2,1,
2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,1,26,3,13,3361628,10912,2,8,1,1,1,2,2,3,1,2,2,2,1,2,1,1,
3,1,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,64,3,13,3361628,16369,6,2,1,2,1,1,2,3,2,1,2,2,1,1,2,1,
3,1,5,6,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,60,3,4,3361027,22994,6,2,1,2,2,1,2,2,2,2,2,1,1,2,2,1,
1,1,5,5,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,21,2,19,3362301,19623,2,6,1,3,1,2,2,3,2,1,2,2,2,2,2,1,
3,1,5,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,35,3,20,3362330,4771,3,3,2,3,1,2,2,1,2,2,1,2,2,2,2,1,
4,1,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,50,3,20,3362330,9541,6,2,1,1,1,2,2,3,2,2,1,2,2,2,2,1,
1,1,4,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,70,2,2,3360800,5545,0,0,1,1,1,2,2,3,2,2,1,2,2,2,2,1,
4,1,5,5,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,1,2,57,3,3,3360882,16834,6,2,2,2,2,2,2,3,2,1,1,2,2,1,2,1,
