"VIV_SEL","FOLIO","FAC_VIV","P1_1","P1_2"
1,3360780,5712,3,1
3,3360780,5712,3,1
4,3360780,5712,6,1
5,3360780,5712,4,1
1,3360800,5545,1,1
3,3360800,5545,3,1
4,3360800,5545,2,1
5,3360800,5545,2,1
1,3360882,5607,3,1
2,3360882,5607,3,1
3,3360882,5607,6,1
4,3360882,5607,3,1
5,3360882,5607,6,1
3,3361027,5744,5,1
1,3361164,5613,2,1
2,3361164,5613,4,1
4,3361164,5613,5,1
5,3361164,5613,5,1
1,3361165,5731,3,1
2,3361165,5731,5,1
3,3361165,5731,3,1
4,3361165,5731,3,1
1,3361382,6365,4,1
2,3361382,6365,3,1
4,3361382,6365,4,1
5,3361382,6365,9,1
1,3361430,6268,2,1
2,3361430,6268,6,1
3,3361430,6268,3,1
4,3361430,6268,3,1
1,3361482,5984,3,1
2,3361482,5984,1,1
3,3361482,5984,5,1
4,3361482,5984,5,1
5,3361482,5984,2,1
1,3361518,5342,6,1
2,3361518,5342,6,1
3,3361518,5342,4,1
5,3361518,5342,3,1
2,3361553,5945,5,1
4,3361553,5945,4,1
5,3361553,5945,5,1
2,3361596,6815,4,1
3,3361596,6815,4,1
4,3361596,6815,2,1
5,3361596,6815,2,1
1,3361628,5452,5,1
2,3361628,5452,2,1
3,3361628,5452,4,1
1,3361645,5274,4,1
3,3361645,5274,5,1
4,3361645,5274,4,1
5,3361645,5274,5,1
1,3361774,4794,2,1
2,3361774,4794,5,1
3,3361774,4794,12,1
5,3361774,4794,2,1
1,3361890,6096,2,1
2,3361890,6096,3,1
3,3361890,6096,6,1
4,3361890,6096,2,1
5,3361890,6096,4,1
1,3362005,5684,3,1
2,3362005,5684,3,1
3,3362005,5684,4,1
4,3362005,5684,1,1
5,3362005,5684,5,1
2,3362202,5213,8,1
3,3362202,5213,3,1
4,3362202,5213,4,1
5,3362202,5213,4,1
1,3362301,6541,7,1
2,3362301,6541,6,1
3,3362301,6541,6,1
5,3362301,6541,6,1
1,3362330,4767,5,1
2,3362330,4767,4,1
3,3362330,4767,4,1
4,3362330,4767,3,1
1,3362430,6940,4,1
2,3362430,6940,5,1
3,3362430,6940,2,1
4,3362430,6940,5,1
5,3362430,6940,2,1
1,3362545,6032,6,1
2,3362545,6032,2,1
3,3362545,6032,4,1
4,3362545,6032,4,1
5,3362545,6032,7,1
2,3362604,6259,6,1
4,3362604,6259,5,1
5,3362604,6259,4,1
1,3362611,11183,4,1
2,3362611,11183,10,2
3,3362611,11183,2,1
5,3362611,11183,4,1
1,3362828,5123,4,1
2,3362828,5123,7,1
3,3362828,5123,2,1
5,3362828,5123,4,1
6,3362828,5123,3,1
7,3362828,5123,5,1
8,3362828,5123,3,2
9,3362828,5123,5,1
10,3362828,5123,4,1
11,3362828,5123,5,1
12,3362828,5123,8,1
13,3362828,5123,5,1
15,3362828,5123,3,1
16,3362828,5123,4,1
17,3362828,5123,10,1
18,3362828,5123,6,1
20,3362828,5123,3,1
1,3363058,4221,3,1
2,3363058,4221,6,1
3,3363058,4221,4,1
4,3363058,4221,5,1
5,3363058,4221,4,1
7,3363058,4221,6,1
8,3363058,4221,6,1
9,3363058,4221,5,1
10,3363058,4221,5,1
11,3363058,4221,3,1
12,3363058,4221,5,1
13,3363058,4221,1,1
14,3363058,4221,3,1
15,3363058,4221,4,1
16,3363058,4221,6,1
17,3363058,4221,7,1
18,3363058,4221,3,1
19,3363058,4221,3,1
20,3363058,4221,4,1
1,3420753,4195,4,1
2,3420753,4195,5,1
3,3420753,4195,3,1
4,3420753,4195,2,1
5,3420753,4195,1,1
6,3420753,4195,4,1
7,3420753,4195,4,1
8,3420753,4195,3,1
9,3420753,4195,5,1
10,3420753,4195,3,1
11,3420753,4195,4,1
12,3420753,4195,3,1
13,3420753,4195,9,1
14,3420753,4195,9,1
15,3420753,4195,4,1
16,3420753,4195,4,1
17,3420753,4195,5,1
18,3420753,4195,6,1
19,3420753,4195,5,1
20,3420753,4195,4,1
1,3420787,4994,5,1
2,3420787,4994,4,1
4,3420787,4994,5,1
5,3420787,4994,5,1
7,3420787,4994,4,1
8,3420787,4994,5,1
9,3420787,4994,2,1
10,3420787,4994,3,1
11,3420787,4994,10,1
12,3420787,4994,4,1
13,3420787,4994,5,1
14,3420787,4994,2,1
15,3420787,4994,5,1
16,3420787,4994,2,1
17,3420787,4994,4,1
20,3420787,4994,4,1
1,3460773,5803,4,1
2,3460773,5803,3,1
3,3460773,5803,2,1
4,3460773,5803,2,1
5,3460773,5803,2,1
2,3461340,6762,7,1
3,3461340,6762,4,1
4,3461340,6762,6,1
1,3461409,5772,5,1
2,3461409,5772,5,1
3,3461409,5772,5,1
4,3461409,5772,5,1
5,3461409,5772,2,1
1,3461705,5288,3,1
2,3461705,5288,3,1
3,3461705,5288,4,1
4,3461705,5288,2,1
5,3461705,5288,5,1
1,3461711,4766,1,1
2,3461711,4766,2,1
3,3461711,4766,3,1
4,3461711,4766,3,1
5,3461711,4766,8,1
1,3461780,4877,1,1
2,3461780,4877,5,1
3,3461780,4877,5,1
4,3461780,4877,4,1
5,3461780,4877,1,1
1,3462792,6507,3,1
3,3462792,6507,2,1
4,3462792,6507,3,1
5,3462792,6507,4,1
1,3463163,6885,4,1
2,3463163,6885,5,1
3,3463163,6885,4,1
4,3463163,6885,4,1
5,3463163,6885,3,1
2,3463612,4001,4,1
3,3463612,4001,6,1
4,3463612,4001,4,1
1,3463834,6557,3,1
2,3463834,6557,1,1
3,3463834,6557,3,1
4,3463834,6557,2,1
5,3463834,6557,2,1
3,3463857,5188,3,1
5,3463857,5188,3,1
2,3463896,6164,6,1
3,3463896,6164,3,1
5,3463896,6164,3,1
1,3463986,5814,3,1
