UPM,VIV_SEL,HOGAR,R_SEL,TLOC,EST_DIS,UPM_DIS,FACTOR,SEXO,EDAD,FAC_PER,GRA,NIV,P3_1,P3_11,P3_2,P3_3,P3_5,P4_1,P4_3,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_5,P4_8,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_3,P5_31,P5_4,P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5,P6_4,P6_20,P7_1,P8_1,P9_1,P10_1,P10_17,P10_8,P11_1_1,P11_1_2,P11_1_3,P11_1_9,P12_1,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P12_3_6
100925,1,1,2,1,3,13,5452,2,41,16369,3,3,2,1,1,1,1,1,5,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2
101598,5,1,3,1,2,19,6541,2,69,19623,0,0,5,2,4,2,1,2,4,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
100925,2,1,1,1,3,13,5452,1,26,10912,2,8,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,3,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1
100925,3,1,2,1,3,13,5452,2,64,16369,6,2,2,1,5,1,6,2,3,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2
100324,3,1,2,1,3,4,5744,1,60,22994,6,2,5,2,5,1,6,1,4,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2
101598,1,1,3,1,2,19,6541,2,21,19623,2,6,3,1,5,1,5,1,3,2,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2
101627,3,1,3,1,3,20,4767,2,35,4771,3,3,3,1,5,1,1,2,3,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
101627,4,1,1,1,3,20,4767,2,50,9541,6,2,1,1,4,1,5,2,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2
100097,1,1,1,1,2,2,5545,2,70,5545,0,0,1,1,4,2,1,2,5,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
100179,4,1,2,1,3,3,5607,2,57,16834,6,2,2,2,5,1,5,2,3,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2
100179,2,1,1,1,3,3,5607,1,65,16834,6,2,1,1,5,1,1,2,5,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2
101598,3,1,2,1,2,19,6541,2,48,26164,3,3,2,1,5,1,1,2,4,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,3,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2
101627,1,1,3,1,3,20,4767,2,20,19083,3,6,3,1,6,1,1,1,3,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,3,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2
101842,3,1,1,1,2,22,6032,2,23,6032,6,2,1,1,2,1,5,1,4,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2
101071,1,1,2,1,3,15,4794,2,26,9595,5,8,2,1,5,1,3,1,3,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
101071,3,1,4,1,3,15,4794,2,23,38381,3,3,3,1,1,1,5,2,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
101187,1,1,1,1,3,16,6096,1,70,12201,2,2,1,1,5,1,6,2,4,1,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2
101727,4,1,1,1,4,21,6940,1,34,13932,5,8,1,1,5,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,1,1,2,2,2
101598,2,1,2,1,2,19,6541,1,21,19623,3,3,3,1,6,1,1,2,5,2,2,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
101187,3,1,1,1,3,16,6096,1,27,12201,6,2,1,1,1,1,1,2,5,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2
101187,5,1,1,1,3,16,6096,1,41,12201,3,3,1,1,5,1,1,2,4,2,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,1,3,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2
100097,5,1,2,1,2,2,5545,2,56,5545,6,2,3,1,3,1,5,1,3,1,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2
100179,1,1,2,1,3,3,5607,1,46,16834,0,0,3,2,6,2,1,2,5,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
100179,3,1,5,1,3,3,5607,2,30,33668,3,3,3,1,6,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
100179,5,1,2,1,3,3,5607,2,41,28056,3,6,2,1,5,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,1,3,2,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2
100077,4,1,1,1,2,1,5712,1,39,11424,1,6,1,1,1,1,1,1,3,1,1,2,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2
100077,5,1,1,1,2,1,5712,1,28,11424,3,3,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2
101842,4,1,1,1,2,22,6032,2,65,12064,0,0,1,1,4,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2
101727,3,1,1,1,4,21,6940,1,69,13932,6,2,1,1,5,1,8,2,3,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2
101071,5,1,1,1,3,15,4794,1,61,9595,3,3,1,1,5,1,6,1,5,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
