UPM,VIV_SEL,HOGAR,R_SEL,P3_1,P3_2,P3_3,NIV,GRA,P3_5,P3_6,P3_7,P3_8_1,P3_8_2,P3_9,P3_10,P3_11,P3_12,P4_1,P4_2,P4_3,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_4A,P4_5,P4_6_1,P4_6_2,P4_6_3,P4_6_4,P4_6_5,P4_7_1,P4_7_2,P4_7_3,P4_7_4,P4_7_5,P4_7_6,P4_7A,P4_8,P4_8A,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_2_1,P5_2_2,P5_2_3,P5_2_4,P5_2_5,P5_2_6,P5_2_7,P5_2_8,P5_2A,P5_3,P5_4,P5_5,P5_6,P5_6A,P5_7_1,P5_7_2,P5_7_3,P5_7_4,P5_7_5,P5_7_6,P5_7A,P5_8_1,P5_8_2,P5_8_3,P5_8_4,P5_8_5,P5_8_6,P5_8_7,P5_8A,P5_9,P5_10_1,P5_10_2,P5_10_3,P5_10_4,P5_10A,P5_11_1,P5_12_1,P5_13_1,P5_14_1,P5_15_1,P5_16_1,P5_11_2,P5_12_2,P5_13_2,P5_14_2,P5_15_2,P5_16_2,P5_11_3,P5_12_3,P5_13_3,P5_14_3,P5_15_3,P5_16_3,P5_11_4,P5_12_4,P5_13_4,P5_14_4,P5_16_4,P5_11_5,P5_12_5,P5_13_5,P5_14_5,P5_16_5,P5_11_6,P5_11_6A,P5_12_6,P5_13_6,P5_14_6,P5_15_6,P5_16_6,P5_17_1,P5_17_2,P5_17_3,P5_17_4,P5_17_5,P5_17_6,P5_17_7,P5_17_8,P5_17_9,P5_17A,P5_18,P5_19,P5_20,P5_21,P5_22,P5_23,P5_23A,P5_24,P5_24A,P5_25_1,P5_26_1,P5_27_1_1,P5_27_1_2,P5_27_1_3,P5_27_1_4,P5_27_1_5,P5_27_1_6,P5_27_1_7,P5_27_1_8,P5_28_1,P5_29_1,P5_29_1A,P5_30_1,P5_30_1A,P5_25_2,P5_26_2,P5_27_2_1,P5_27_2_2,P5_27_2_3,P5_27_2_4,P5_27_2_5,P5_27_2_6,P5_27_2_7,P5_27_2_8,P5_28_2,P5_29_2,P5_29_2A,P5_30_2,P5_30_2A,P5_31,P5_32_1,P5_32_2,P5_32_2A,P6_1_1,P6_2_1,P6_1_2,P6_2_2,P6_1_3,P6_2_3,P6_1_4,P6_2_4,P6_1_5,P6_1_5A,P6_2_5,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_3_7,P6_3_8,P6_3_9,P6_3A,P6_4,P6_5,TLOC,EST_DIS,UPM_DIS,FACTOR,SEXO,EDAD,FAC_PER
0100925,01,01,02,2,1,1,3,3,1,,1,,,,1,1,1,1,2,5,1,2,2,1,2,2,2,,1,1,2,2,2,2,2,2,2,1,1,2,,1,,2,2,2,2,2,2,,,,,,,,,,2,2,1,,,,,,,,,,2,2,2,2,2,2,1,ERA UNA CUENTA DE BECA Y SE TERMINO EL  PERDIODO DE LA MISMA Y DEJARON DE  DEPOSITARLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,1,1,2,2,,2,,2,,,2,2,1,2,2,2,2,2,2,,2,1,1,003,00013,05452,2,41,16369
0101598,05,01,03,5,4,2,0,0,1,,4,01500,1,2,1,2,,2,,4,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,2,1,2,2,2,1,2,2,2,2,2,2,2,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,002,00019,06541,2,69,19623
0100925,02,01,01,1,1,1,8,2,2,,2,15000,3,2,2,1,1,1,1,2,1,1,2,1,2,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,1,1,1,2,2,1,2,2,2,2,1,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,1,2,2,1,2,2,2,2,,2,,,1,12,,,,,1,1,2,2,2,1,1,2,2,2,01,,,,,2,,,,,,,,,,,,,3,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00013,05452,1,26,10912
0100925,03,01,02,2,5,1,2,6,6,4,,,,,,1,1,2,,3,1,2,2,1,2,2,2,,2,,,,,,,,,,,,,1,,2,2,2,2,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,1,2,2,2,2,2,2,2,,2,,,1,04,,,,,2,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,3,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00013,05452,2,64,16369
0100324,03,01,02,5,5,1,2,6,6,4,,,,,,2,,1,1,4,1,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,2,1,2,2,2,1,1,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,1,2,2,2,1,UN FAMILIAR TIENE EN ESA SUCURSAL SU CUENTA,1,1,2,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,1,2,2,2,2,2,2,2,,1,2,,2,,1,,5,,2,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,3,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00004,05744,1,60,22994
0101598,01,01,03,3,5,1,6,2,5,4,,,,,,1,1,1,2,3,2,1,2,2,2,1,2,,1,1,2,2,2,2,2,2,2,1,1,1,LA MAMA LE GUARDABA EL DINERO,1,,2,1,1,1,2,2,1,2,2,2,2,2,2,1,PARA EL FUTURO DE SUS HIJAS,1,2,1,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,002,00019,06541,2,21,19623
0101627,03,01,03,3,5,1,3,3,1,,2,02000,1,2,7,1,1,2,,3,2,1,1,1,2,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,2,2,2,2,,,,,,,,,,1,2,2,1,,2,2,2,2,2,1,NO LE QUEDA PARA AHORRAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,1,1,1,2,,2,,2,,,2,2,2,1,2,2,2,2,2,,2,2,1,003,00020,04767,2,35,04771
0101627,04,01,01,1,4,1,2,6,5,4,,,,,,1,2,2,,3,2,2,1,2,2,2,2,,2,,,,,,,,,,,,,1,,2,2,2,2,2,2,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,1,1,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,2,,1,,5,,2,,,,,,,,,,,,,7,NO LE INTERESA ESE SERVICIO,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00020,04767,2,50,09541
0100097,01,01,01,1,4,2,0,0,1,,2,00390,1,1,1,1,2,2,,5,2,2,2,1,2,2,2,,2,,,,,,,,,,,,,1,,2,2,1,2,2,2,1,2,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,2,,1,,5,,2,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,3,,2,,,,1,2,2,,2,,2,,2,,,1,2,2,2,2,2,2,2,2,,2,2,1,002,00002,05545,2,70,05545
0100179,04,01,02,2,5,1,2,6,5,4,,,,,,2,,2,,3,2,2,2,1,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,2,,2,,2,,2,,,1,2,2,2,2,2,2,2,2,,2,2,1,003,00003,05607,2,57,16834
