UPM,VIV_SEL,HOGAR,N_REN,SEXO,EDAD,TLOC,EST_DIS,UPM_DIS,FACTOR
0100077,01,01,01,2,70,1,002,00001,05712
0100077,01,01,02,1,30,1,002,00001,05712
0100077,01,01,03,1,29,1,002,00001,05712
0100077,03,01,01,1,24,1,002,00001,05712
0100077,03,01,02,2,22,1,002,00001,05712
0100077,03,01,03,2,05,1,002,00001,05712
0100077,04,01,01,1,39,1,002,00001,05712
0100077,04,01,02,1,36,1,002,00001,05712
0100077,04,01,03,2,16,1,002,00001,05712
0100077,04,01,04,2,11,1,002,00001,05712
0100077,04,01,05,2,01,1,002,00001,05712
0100077,04,01,06,1,01,1,002,00001,05712
0100077,05,01,01,1,28,1,002,00001,05712
0100077,05,01,02,2,30,1,002,00001,05712
0100077,05,01,03,1,09,1,002,00001,05712
0100077,05,01,04,2,01,1,002,00001,05712
0100097,01,01,01,2,70,1,002,00002,05545
0100097,03,01,01,1,56,1,002,00002,05545
0100097,03,01,02,2,50,1,002,00002,05545
0100097,03,01,03,1,20,1,002,00002,05545
0100097,04,01,01,1,36,1,002,00002,05545
0100097,04,01,02,2,37,1,002,00002,05545
0100097,05,01,01,2,82,1,002,00002,05545
0100097,05,01,02,2,56,1,002,00002,05545
0100179,01,01,01,2,66,1,003,00003,05607
0100179,01,01,02,1,46,1,003,00003,05607
0100179,01,01,03,1,24,1,003,00003,05607
0100179,02,01,01,1,65,1,003,00003,05607
0100179,02,01,02,2,63,1,003,00003,05607
0100179,02,01,03,1,38,1,003,00003,05607
0100179,03,01,01,1,62,1,003,00003,05607
0100179,03,01,02,2,58,1,003,00003,05607
0100179,03,01,03,1,36,1,003,00003,05607
0100179,03,01,04,2,32,1,003,00003,05607
0100179,03,01,05,2,30,1,003,00003,05607
0100179,03,01,06,2,24,1,003,00003,05607
0100179,04,01,01,1,64,1,003,00003,05607
0100179,04,01,02,2,57,1,003,00003,05607
0100179,04,01,03,2,22,1,003,00003,05607
0100179,05,01,01,1,47,1,003,00003,05607
0100179,05,01,02,2,41,1,003,00003,05607
0100179,05,01,03,2,22,1,003,00003,05607
0100179,05,01,04,1,19,1,003,00003,05607
0100179,05,01,05,1,18,1,003,00003,05607
0100179,05,01,06,2,16,1,003,00003,05607
0100324,03,01,01,1,83,1,003,00004,05744
0100324,03,01,02,1,60,1,003,00004,05744
0100324,03,01,03,2,56,1,003,00004,05744
