UPM,VIV_SEL,P1_1,P1_2,P1_3,TLOC,EST_DIS,UPM_DIS,FACTOR
0100077,01,03,1,,1,002,00001,05712
0100077,03,03,1,,1,002,00001,05712
0100077,04,06,1,,1,002,00001,05712
0100077,05,04,1,,1,002,00001,05712
0100097,01,01,1,,1,002,00002,05545
0100097,03,03,1,,1,002,00002,05545
0100097,04,02,1,,1,002,00002,05545
0100097,05,02,1,,1,002,00002,05545
0100179,01,03,1,,1,003,00003,05607
0100179,02,03,1,,1,003,00003,05607
0100179,03,06,1,,1,003,00003,05607
0100179,04,03,1,,1,003,00003,05607
0100179,05,06,1,,1,003,00003,05607
0100324,03,05,1,,1,003,00004,05744
0100461,01,02,1,,1,003,00005,05613
0100461,02,04,1,,1,003,00005,05613
0100461,04,05,1,,1,003,00005,05613
0100461,05,05,1,,1,003,00005,05613
0100462,01,03,1,,1,003,00006,05731
0100462,02,05,1,,1,003,00006,05731
0100462,03,03,1,,1,003,00006,05731
0100462,04,03,1,,1,003,00006,05731
0100679,01,04,1,,1,004,00007,06365
0100679,02,03,1,,1,004,00007,06365
0100679,04,04,1,,1,004,00007,06365
0100679,05,09,1,,1,004,00007,06365
0100727,01,02,1,,1,002,00008,06268
0100727,02,06,1,,1,002,00008,06268
0100727,03,03,1,,1,002,00008,06268
0100727,04,03,1,,1,002,00008,06268
0100779,01,03,1,,1,003,00009,05984
0100779,02,01,1,,1,003,00009,05984
0100779,03,05,1,,1,003,00009,05984
0100779,04,05,1,,1,003,00009,05984
0100779,05,02,1,,1,003,00009,05984
0100815,01,06,1,,1,003,00010,05342
0100815,02,06,1,,1,003,00010,05342
0100815,03,04,1,,1,003,00010,05342
0100815,05,03,1,,1,003,00010,05342
0100850,02,05,1,,1,003,00011,05945
0100850,04,04,1,,1,003,00011,05945
0100850,05,05,1,,1,003,00011,05945
0100893,02,04,1,,1,004,00012,06815
0100893,03,04,1,,1,004,00012,06815
0100893,04,02,1,,1,004,00012,06815
0100893,05,02,1,,1,004,00012,06815
0100925,01,05,1,,1,003,00013,05452
0100925,02,02,1,,1,003,00013,05452
0100925,03,04,1,,1,003,00013,05452
0100942,01,04,1,,1,003,00014,05274
0100942,03,05,1,,1,003,00014,05274
0100942,04,04,1,,1,003,00014,05274
0100942,05,05,1,,1,003,00014,05274
0101071,01,02,1,,1,003,00015,04794
0101071,02,05,1,,1,003,00015,04794
0101071,03,12,1,,1,003,00015,04794
0101071,05,02,1,,1,003,00015,04794
0101187,01,02,1,,1,003,00016,06096
0101187,02,03,1,,1,003,00016,06096
0101187,03,06,1,,1,003,00016,06096
0101187,04,02,1,,1,003,00016,06096
0101187,05,04,1,,1,003,00016,06096
0101302,01,03,1,,1,004,00017,05684
0101302,02,03,1,,1,004,00017,05684
0101302,03,04,1,,1,004,00017,05684
0101302,04,01,1,,1,004,00017,05684
0101302,05,05,1,,1,004,00017,05684
0101499,02,08,1,,1,002,00018,05213
0101499,03,03,1,,1,002,00018,05213
0101499,04,04,1,,1,002,00018,05213
0101499,05,04,1,,1,002,00018,05213
0101598,01,07,1,,1,002,00019,06541
0101598,02,06,1,,1,002,00019,06541
