"VIV_SEL","HOGAR","P3_2","P3_3","P3_5","P4_1","P4_5","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P8_1","P9_1","P10_1","P11_1_1","P11_1_2","P11_1_3","P12_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","UPM","FAC_PER","GRA","NIV","P3_1","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P5_3","P5_4","P10_8","R_SEL","FACTOR","P3_11","P4_3","P4_8","P5_31","P6_4","P6_20","P7_1","P10_17","P11_1_9","P12_3_1","P12_3_2","P12_3_3","P12_3_4","P12_3_5","P12_3_6"
1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,41,3,13,100925,16369,3,3,2,1,2,2,1,2,2,2,2,2,2,2,5452,1,5,1,1,2,1,2,1,1,2,1,2,2,2,2
5,1,4,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,69,2,19,101598,19623,0,0,5,2,2,2,2,2,2,2,1,2,2,3,6541,2,4,1,2,2,3,2,2,1,2,2,1,2,2,2
2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,26,3,13,100925,10912,2,8,1,1,1,2,1,2,1,2,1,1,1,1,5452,1,2,1,2,2,3,1,2,2,2,1,2,2,2,1
3,1,5,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,64,3,13,100925,16369,6,2,2,1,2,2,1,2,2,2,1,1,1,2,5452,1,3,1,1,2,3,2,1,2,2,1,1,2,2,2
3,1,5,1,6,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,60,3,4,100324,22994,6,2,5,1,2,2,2,2,2,2,2,1,1,2,5744,2,4,1,1,2,2,2,2,2,1,1,2,2,2,2
1,1,5,1,5,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,21,2,19,101598,19623,2,6,3,2,1,2,2,2,1,2,1,2,1,3,6541,1,3,1,2,2,3,2,1,2,2,2,2,2,2,2
3,1,5,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,2,35,3,20,101627,4771,3,3,3,2,1,1,1,2,1,2,1,2,2,3,4767,1,3,1,2,2,1,2,2,1,2,2,2,2,2,2
4,1,4,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,50,3,20,101627,9541,6,2,1,2,2,1,2,2,2,2,2,1,1,1,4767,1,3,1,2,2,3,2,2,1,2,2,2,2,2,2
1,1,4,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,70,2,2,100097,5545,0,0,1,2,2,2,1,2,2,2,2,1,1,1,5545,1,5,1,2,2,3,2,2,1,2,2,2,2,2,2
4,1,5,1,5,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,57,3,3,100179,16834,6,2,2,2,2,2,1,2,2,2,2,2,2,2,5607,2,3,1,2,2,3,2,1,1,2,2,1,2,2,2
2,1,5,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,65,3,3,100179,16834,6,2,1,1,1,1,2,2,2,2,2,1,1,1,5607,1,5,1,2,1,2,2,2,1,1,1,1,2,2,2
3,1,5,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,48,2,19,101598,26164,3,3,2,2,2,2,1,1,1,2,1,1,1,2,6541,1,4,1,2,2,3,2,2,2,2,2,1,2,2,2
1,1,6,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,1,2,20,3,20,101627,19083,3,6,3,1,2,1,1,1,2,2,1,1,1,3,4767,1,3,1,2,2,3,2,1,2,2,1,2,2,2,2
3,1,2,1,5,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,23,2,22,101842,6032,6,2,1,2,2,1,1,1,1,2,1,1,1,1,6032,1,4,1,1,2,2,1,2,2,2,2,1,2,2,2
1,1,5,1,3,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,26,3,15,101071,9595,5,8,2,2,1,2,1,2,1,2,1,2,1,2,4794,1,3,1,2,2,3,2,2,2,2,2,2,2,2,2
3,1,1,1,5,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,23,3,15,101071,38381,3,3,3,2,2,1,1,2,1,2,2,2,2,4,4794,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2
1,1,5,1,6,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,70,3,16,101187,12201,2,2,1,1,2,1,1,1,1,2,2,1,1,1,6096,1,4,1,2,2,1,2,2,2,1,1,1,1,2,2
4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,34,4,21,101727,13932,5,8,1,2,1,1,1,1,1,2,1,1,1,1,6940,1,3,1,2,1,2,2,2,2,2,1,1,2,2,2
2,1,6,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,21,2,19,101598,19623,3,3,3,2,2,2,1,2,1,2,1,2,1,2,6541,1,5,1,2,2,3,2,2,1,2,2,2,2,2,2
3,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,27,3,16,101187,12201,6,2,1,2,1,2,1,2,2,2,2,2,2,1,6096,1,5,1,2,2,3,1,2,2,2,1,2,2,2,2
