"VIV_SEL","TLOC","EST_DIS","UPM_DIS","P1_1","P1_2","UPM","FACTOR"
1,1,2,1,3,1,100077,5712
3,1,2,1,3,1,100077,5712
4,1,2,1,6,1,100077,5712
5,1,2,1,4,1,100077,5712
1,1,2,2,1,1,100097,5545
3,1,2,2,3,1,100097,5545
4,1,2,2,2,1,100097,5545
5,1,2,2,2,1,100097,5545
1,1,3,3,3,1,100179,5607
2,1,3,3,3,1,100179,5607
3,1,3,3,6,1,100179,5607
4,1,3,3,3,1,100179,5607
5,1,3,3,6,1,100179,5607
3,1,3,4,5,1,100324,5744
1,1,3,5,2,1,100461,5613
2,1,3,5,4,1,100461,5613
4,1,3,5,5,1,100461,5613
5,1,3,5,5,1,100461,5613
1,1,3,6,3,1,100462,5731
2,1,3,6,5,1,100462,5731
3,1,3,6,3,1,100462,5731
4,1,3,6,3,1,100462,5731
1,1,4,7,4,1,100679,6365
2,1,4,7,3,1,100679,6365
4,1,4,7,4,1,100679,6365
5,1,4,7,9,1,100679,6365
1,1,2,8,2,1,100727,6268
2,1,2,8,6,1,100727,6268
3,1,2,8,3,1,100727,6268
4,1,2,8,3,1,100727,6268
1,1,3,9,3,1,100779,5984
2,1,3,9,1,1,100779,5984
3,1,3,9,5,1,100779,5984
4,1,3,9,5,1,100779,5984
5,1,3,9,2,1,100779,5984
1,1,3,10,6,1,100815,5342
2,1,3,10,6,1,100815,5342
3,1,3,10,4,1,100815,5342
5,1,3,10,3,1,100815,5342
2,1,3,11,5,1,100850,5945
4,1,3,11,4,1,100850,5945
5,1,3,11,5,1,100850,5945
2,1,4,12,4,1,100893,6815
3,1,4,12,4,1,100893,6815
4,1,4,12,2,1,100893,6815
5,1,4,12,2,1,100893,6815
1,1,3,13,5,1,100925,5452
2,1,3,13,2,1,100925,5452
3,1,3,13,4,1,100925,5452
1,1,3,14,4,1,100942,5274
3,1,3,14,5,1,100942,5274
4,1,3,14,4,1,100942,5274
5,1,3,14,5,1,100942,5274
1,1,3,15,2,1,101071,4794
2,1,3,15,5,1,101071,4794
3,1,3,15,12,1,101071,4794
5,1,3,15,2,1,101071,4794
1,1,3,16,2,1,101187,6096
2,1,3,16,3,1,101187,6096
3,1,3,16,6,1,101187,6096
4,1,3,16,2,1,101187,6096
5,1,3,16,4,1,101187,6096
1,1,4,17,3,1,101302,5684
2,1,4,17,3,1,101302,5684
3,1,4,17,4,1,101302,5684
4,1,4,17,1,1,101302,5684
5,1,4,17,5,1,101302,5684
2,1,2,18,8,1,101499,5213
3,1,2,18,3,1,101499,5213
4,1,2,18,4,1,101499,5213
5,1,2,18,4,1,101499,5213
1,1,2,19,7,1,101598,6541
2,1,2,19,6,1,101598,6541
3,1,2,19,6,1,101598,6541
5,1,2,19,6,1,101598,6541
1,1,3,20,5,1,101627,4767
2,1,3,20,4,1,101627,4767
3,1,3,20,4,1,101627,4767
4,1,3,20,3,1,101627,4767
1,1,4,21,4,1,101727,6940
2,1,4,21,5,1,101727,6940
3,1,4,21,2,1,101727,6940
4,1,4,21,5,1,101727,6940
5,1,4,21,2,1,101727,6940
1,1,2,22,6,1,101842,6032
2,1,2,22,2,1,101842,6032
3,1,2,22,4,1,101842,6032
4,1,2,22,4,1,101842,6032
5,1,2,22,7,1,101842,6032
2,1,4,23,6,1,101901,6259
4,1,4,23,5,1,101901,6259
5,1,4,23,4,1,101901,6259
1,1,2,24,4,1,101908,11183
2,1,2,24,10,2,101908,11183
3,1,2,24,2,1,101908,11183
5,1,2,24,4,1,101908,11183
1,2,5,25,4,1,102125,5123
2,2,5,25,7,1,102125,5123
3,2,5,25,2,1,102125,5123
5,2,5,25,4,1,102125,5123
6,2,5,25,3,1,102125,5123
7,2,5,25,5,1,102125,5123
8,2,5,25,3,2,102125,5123
9,2,5,25,5,1,102125,5123
10,2,5,25,4,1,102125,5123
11,2,5,25,5,1,102125,5123
12,2,5,25,8,1,102125,5123
13,2,5,25,5,1,102125,5123
15,2,5,25,3,1,102125,5123
16,2,5,25,4,1,102125,5123
17,2,5,25,10,1,102125,5123
18,2,5,25,6,1,102125,5123
20,2,5,25,3,1,102125,5123
1,3,9,26,3,1,102355,4221
2,3,9,26,6,1,102355,4221
3,3,9,26,4,1,102355,4221
4,3,9,26,5,1,102355,4221
5,3,9,26,4,1,102355,4221
7,3,9,26,6,1,102355,4221
8,3,9,26,6,1,102355,4221
9,3,9,26,5,1,102355,4221
10,3,9,26,5,1,102355,4221
11,3,9,26,3,1,102355,4221
12,3,9,26,5,1,102355,4221
13,3,9,26,1,1,102355,4221
14,3,9,26,3,1,102355,4221
15,3,9,26,4,1,102355,4221
16,3,9,26,6,1,102355,4221
17,3,9,26,7,1,102355,4221
18,3,9,26,3,1,102355,4221
19,3,9,26,3,1,102355,4221
20,3,9,26,4,1,102355,4221
1,4,12,27,4,1,160050,4195
2,4,12,27,5,1,160050,4195
3,4,12,27,3,1,160050,4195
4,4,12,27,2,1,160050,4195
5,4,12,27,1,1,160050,4195
6,4,12,27,4,1,160050,4195
7,4,12,27,4,1,160050,4195
8,4,12,27,3,1,160050,4195
9,4,12,27,5,1,160050,4195
10,4,12,27,3,1,160050,4195
11,4,12,27,4,1,160050,4195
12,4,12,27,3,1,160050,4195
13,4,12,27,9,1,160050,4195
14,4,12,27,9,1,160050,4195
15,4,12,27,4,1,160050,4195
16,4,12,27,4,1,160050,4195
17,4,12,27,5,1,160050,4195
18,4,12,27,6,1,160050,4195
19,4,12,27,5,1,160050,4195
20,4,12,27,4,1,160050,4195
1,4,12,28,5,1,160084,4994
2,4,12,28,4,1,160084,4994
4,4,12,28,5,1,160084,4994
5,4,12,28,5,1,160084,4994
7,4,12,28,4,1,160084,4994
8,4,12,28,5,1,160084,4994
9,4,12,28,2,1,160084,4994
10,4,12,28,3,1,160084,4994
11,4,12,28,10,1,160084,4994
12,4,12,28,4,1,160084,4994
13,4,12,28,5,1,160084,4994
14,4,12,28,2,1,160084,4994
15,4,12,28,5,1,160084,4994
16,4,12,28,2,1,160084,4994
17,4,12,28,4,1,160084,4994
20,4,12,28,4,1,160084,4994
1,1,3,29,4,1,200070,5803
2,1,3,29,3,1,200070,5803
3,1,3,29,2,1,200070,5803
4,1,3,29,2,1,200070,5803
5,1,3,29,2,1,200070,5803
2,1,3,30,7,1,200637,6762
3,1,3,30,4,1,200637,6762
4,1,3,30,6,1,200637,6762
1,1,3,31,5,1,200706,5772
2,1,3,31,5,1,200706,5772
3,1,3,31,5,1,200706,5772
4,1,3,31,5,1,200706,5772
5,1,3,31,2,1,200706,5772
1,1,3,32,3,1,201002,5288
2,1,3,32,3,1,201002,5288
3,1,3,32,4,1,201002,5288
4,1,3,32,2,1,201002,5288
5,1,3,32,5,1,201002,5288
1,1,3,33,1,1,201008,4766
2,1,3,33,2,1,201008,4766
3,1,3,33,3,1,201008,4766
4,1,3,33,3,1,201008,4766
5,1,3,33,8,1,201008,4766
1,1,3,34,1,1,201077,4877
2,1,3,34,5,1,201077,4877
3,1,3,34,5,1,201077,4877
4,1,3,34,4,1,201077,4877
5,1,3,34,1,1,201077,4877
1,1,2,35,3,1,202089,6507
3,1,2,35,2,1,202089,6507
4,1,2,35,3,1,202089,6507
5,1,2,35,4,1,202089,6507
1,1,4,36,4,1,202460,6885
2,1,4,36,5,1,202460,6885
3,1,4,36,4,1,202460,6885
4,1,4,36,4,1,202460,6885
5,1,4,36,3,1,202460,6885
2,1,2,37,4,1,202909,4001
3,1,2,37,6,1,202909,4001
4,1,2,37,4,1,202909,4001
1,1,4,38,3,1,203131,6557
2,1,4,38,1,1,203131,6557
3,1,4,38,3,1,203131,6557
4,1,4,38,2,1,203131,6557
5,1,4,38,2,1,203131,6557
3,1,2,39,3,1,203154,5188
5,1,2,39,3,1,203154,5188
2,1,2,40,6,1,203193,6164
3,1,2,40,3,1,203193,6164
5,1,2,40,3,1,203193,6164
1,1,4,41,3,1,203283,5814
2,1,4,41,2,1,203283,5814
3,1,4,41,4,1,203283,5814
4,1,4,41,4,1,203283,5814
5,1,4,41,8,1,203283,5814
1,1,3,42,2,1,203297,5111
4,1,3,42,7,1,203297,5111
3,1,2,43,4,1,203312,4883
4,1,2,43,4,1,203312,4883
5,1,2,43,4,1,203312,4883
1,1,4,44,4,1,203510,6720
4,1,4,44,4,1,203510,6720
5,1,4,44,6,1,203510,6720
2,1,3,45,5,1,203547,6018
3,1,3,45,4,1,203547,6018
4,1,2,46,1,1,203914,5943
5,1,2,46,5,1,203914,5943
1,1,3,47,3,1,204049,5636
2,1,3,47,5,1,204049,5636
3,1,3,47,4,1,204049,5636
4,1,3,47,3,1,204049,5636
1,1,4,48,1,1,204699,6105
3,1,4,48,6,1,204699,6105
4,1,4,48,3,1,204699,6105
5,1,4,48,4,1,204699,6105
1,1,3,49,1,1,204728,4973
2,1,3,49,2,1,204728,4973
4,1,3,49,1,1,204728,4973
5,1,3,49,5,1,204728,4973
1,1,3,50,3,1,205355,6096
2,1,3,50,6,1,205355,6096
3,1,3,50,8,1,205355,6096
4,1,3,50,2,1,205355,6096
5,1,3,50,4,1,205355,6096
1,1,3,51,3,1,205402,6420
2,1,3,51,5,1,205402,6420
4,1,3,51,1,1,205402,6420
5,1,3,51,3,1,205402,6420
1,1,2,52,6,1,205480,6100
2,1,2,52,4,1,205480,6100
3,1,2,52,3,1,205480,6100
4,1,2,52,5,1,205480,6100
5,1,2,52,1,1,205480,6100
1,1,2,53,4,1,205584,5767
2,1,2,53,4,1,205584,5767
4,1,2,53,4,1,205584,5767
5,1,2,53,4,1,205584,5767
1,1,3,54,7,1,205779,4877
2,1,3,54,3,1,205779,4877
3,1,3,54,4,1,205779,4877
4,1,3,54,4,1,205779,4877
5,1,3,54,4,1,205779,4877
1,1,2,55,7,1,205992,6232
2,1,2,55,8,1,205992,6232
3,1,2,55,3,1,205992,6232
4,1,2,55,4,1,205992,6232
5,1,2,55,1,1,205992,6232
1,1,3,56,5,1,206343,6396
2,1,3,56,4,1,206343,6396
3,1,3,56,5,1,206343,6396
4,1,3,56,7,1,206343,6396
5,1,3,56,2,1,206343,6396
2,1,2,57,1,1,206620,6621
3,1,2,57,1,1,206620,6621
4,1,2,57,4,1,206620,6621
5,1,2,57,5,1,206620,6621
1,1,4,58,3,1,206862,4533
2,1,4,58,3,1,206862,4533
3,1,4,58,2,1,206862,4533
4,1,4,58,2,1,206862,4533
5,1,4,58,3,1,206862,4533
1,2,5,59,6,1,207549,4512
3,2,5,59,1,1,207549,4512
4,2,5,59,7,2,207549,4512
5,2,5,59,1,1,207549,4512
6,2,5,59,5,1,207549,4512
7,2,5,59,1,1,207549,4512
9,2,5,59,4,1,207549,4512
10,2,5,59,1,1,207549,4512
11,2,5,59,5,1,207549,4512
12,2,5,59,5,1,207549,4512
13,2,5,59,1,1,207549,4512
14,2,5,59,5,2,207549,4512
15,2,5,59,4,1,207549,4512
16,2,5,59,2,1,207549,4512
17,2,5,59,3,2,207549,4512
18,2,5,59,5,1,207549,4512
19,2,5,59,3,1,207549,4512
20,2,5,59,3,1,207549,4512
1,3,9,60,5,1,207920,4179
3,3,9,60,4,1,207920,4179
4,3,9,60,2,1,207920,4179
5,3,9,60,3,1,207920,4179
6,3,9,60,5,1,207920,4179
7,3,9,60,2,1,207920,4179
8,3,9,60,5,1,207920,4179
10,3,9,60,2,1,207920,4179
11,3,9,60,7,1,207920,4179
12,3,9,60,2,1,207920,4179
13,3,9,60,1,1,207920,4179
14,3,9,60,6,2,207920,4179
15,3,9,60,1,1,207920,4179
16,3,9,60,6,1,207920,4179
17,3,9,60,1,1,207920,4179
18,3,9,60,3,1,207920,4179
19,3,9,60,3,1,207920,4179
20,3,9,60,6,1,207920,4179
1,1,2,61,4,1,208213,5235
2,1,2,61,1,1,208213,5235
3,1,2,61,3,1,208213,5235
4,1,2,61,1,1,208213,5235
5,1,2,61,4,1,208213,5235
1,4,11,62,4,1,260003,4545
2,4,11,62,1,1,260003,4545
3,4,11,62,5,1,260003,4545
4,4,11,62,3,1,260003,4545
