upm,viv_sel,p1_1,p1_2,p1_3,region,tloc,est_dis,upm_dis,fac_viv
100041,2,4,1,,3,1,4,1,1239
100041,3,2,1,,3,1,4,1,1239
100041,4,5,1,,3,1,4,1,1239
100041,5,6,1,,3,1,4,1,1239
100067,1,3,1,,3,1,5,2,1572
100067,5,3,1,,3,1,5,2,1572
100121,1,1,1,,3,1,4,3,861
100121,2,2,1,,3,1,4,3,861
100121,4,2,1,,3,1,4,3,861
100217,3,1,1,,3,1,3,4,957
100217,4,1,1,,3,1,3,4,957
100217,5,1,1,,3,1,3,4,957
100220,2,2,1,,3,1,4,5,1084
100220,3,2,1,,3,1,4,5,1084
100220,4,2,1,,3,1,4,5,1084
100261,1,5,1,,3,1,4,6,1096
100261,2,2,1,,3,1,4,6,1096
100261,3,6,1,,3,1,4,6,1096
100261,4,1,1,,3,1,4,6,1096
100261,5,5,1,,3,1,4,6,1096
100283,1,4,1,,3,1,4,7,1144
100283,2,1,1,,3,1,4,7,1144
100283,3,2,1,,3,1,4,7,1144
100283,5,1,1,,3,1,4,7,1144
100298,1,2,1,,3,1,5,8,1411
100298,2,2,1,,3,1,5,8,1411
100298,4,3,1,,3,1,5,8,1411
100320,1,5,1,,3,1,4,9,1177
100320,2,6,1,,3,1,4,9,1177
100320,3,3,1,,3,1,4,9,1177
100320,4,4,1,,3,1,4,9,1177
100320,5,3,1,,3,1,4,9,1177
100340,1,2,1,,3,1,4,10,1218
100340,2,2,1,,3,1,4,10,1218
100340,3,3,1,,3,1,4,10,1218
100340,4,6,1,,3,1,4,10,1218
100340,5,4,1,,3,1,4,10,1218
100397,1,3,1,,3,1,3,11,1043
100397,2,1,1,,3,1,3,11,1043
100397,3,3,1,,3,1,3,11,1043
100397,4,4,1,,3,1,3,11,1043
100397,5,4,1,,3,1,3,11,1043
100446,1,5,1,,3,1,3,12,1086
100446,2,3,1,,3,1,3,12,1086
100446,3,3,1,,3,1,3,12,1086
100446,4,2,1,,3,1,3,12,1086
100446,5,5,1,,3,1,3,12,1086
100451,1,2,1,,3,1,3,13,1113
100451,2,5,1,,3,1,3,13,1113
100451,3,2,1,,3,1,3,13,1113
100451,4,8,1,,3,1,3,13,1113
100451,5,4,1,,3,1,3,13,1113
100483,1,2,1,,3,1,4,14,1217
100483,2,2,1,,3,1,4,14,1217
100483,3,5,1,,3,1,4,14,1217
100483,4,2,1,,3,1,4,14,1217
100483,5,3,1,,3,1,4,14,1217
100502,1,4,1,,3,1,5,15,1495
100502,2,2,1,,3,1,5,15,1495
100502,3,3,1,,3,1,5,15,1495
100502,4,5,1,,3,1,5,15,1495
100502,5,2,1,,3,1,5,15,1495
100504,2,4,1,,3,1,5,16,1388
100504,3,4,1,,3,1,5,16,1388
100504,4,5,1,,3,1,5,16,1388
100565,1,3,1,,3,1,4,17,1217
100565,2,5,1,,3,1,4,17,1217
100565,3,3,1,,3,1,4,17,1217
100565,4,4,1,,3,1,4,17,1217
100565,5,2,1,,3,1,4,17,1217
100601,1,1,1,,3,1,4,18,1177
100601,2,2,1,,3,1,4,18,1177
100601,3,1,1,,3,1,4,18,1177
100601,4,2,1,,3,1,4,18,1177
100601,5,3,1,,3,1,4,18,1177
100628,1,5,1,,3,1,4,19,1218
100628,2,3,1,,3,1,4,19,1218
100628,3,4,1,,3,1,4,19,1218
100628,4,7,1,,3,1,4,19,1218
100628,5,3,1,,3,1,4,19,1218
100699,1,5,1,,3,1,4,20,1260
100699,2,5,1,,3,1,4,20,1260
100699,3,5,1,,3,1,4,20,1260
100699,4,4,1,,3,1,4,20,1260
100699,5,2,1,,3,1,4,20,1260
100703,1,7,1,,3,1,4,21,1233
100703,2,4,1,,3,1,4,21,1233
100703,3,2,1,,3,1,4,21,1233
100703,4,1,1,,3,1,4,21,1233
100703,5,3,1,,3,1,4,21,1233
100714,1,1,1,,3,1,4,22,1090
100714,2,4,1,,3,1,4,22,1090
100714,3,5,1,,3,1,4,22,1090
100714,4,3,1,,3,1,4,22,1090
100714,5,6,1,,3,1,4,22,1090
100743,1,1,1,,3,1,3,23,1096
100743,2,3,1,,3,1,3,23,1096
100743,3,7,1,,3,1,3,23,1096
100743,4,4,1,,3,1,3,23,1096
100883,1,6,1,,3,1,3,24,1077
100883,2,6,1,,3,1,3,24,1077
100883,4,3,1,,3,1,3,24,1077
100883,5,3,1,,3,1,3,24,1077
100906,2,2,1,,3,1,5,25,1495
100906,3,4,1,,3,1,5,25,1495
100906,5,4,1,,3,1,5,25,1495
100915,2,4,1,,3,1,5,26,1469
100915,3,6,1,,3,1,5,26,1469
100915,4,1,1,,3,1,5,26,1469
100915,5,4,1,,3,1,5,26,1469
100957,1,2,1,,3,1,4,27,1227
100957,2,3,1,,3,1,4,27,1227
100957,3,2,1,,3,1,4,27,1227
100957,5,5,1,,3,1,4,27,1227
100996,1,5,1,,3,1,4,28,1185
100996,2,4,1,,3,1,4,28,1185
100996,3,2,1,,3,1,4,28,1185
100996,4,4,1,,3,1,4,28,1185
100996,5,6,1,,3,1,4,28,1185
101024,1,3,1,,3,1,4,29,1169
101024,3,2,1,,3,1,4,29,1169
101024,4,2,1,,3,1,4,29,1169
101024,5,4,1,,3,1,4,29,1169
101042,1,2,1,,3,1,4,30,1167
101042,2,4,1,,3,1,4,30,1167
101042,3,5,1,,3,1,4,30,1167
101042,4,5,1,,3,1,4,30,1167
101042,5,2,1,,3,1,4,30,1167
101075,1,3,1,,3,1,3,31,1140
101075,2,7,1,,3,1,3,31,1140
101075,3,4,1,,3,1,3,31,1140
101075,4,8,1,,3,1,3,31,1140
101075,5,2,1,,3,1,3,31,1140
101152,1,3,1,,3,1,4,32,1168
101152,2,2,1,,3,1,4,32,1168
101152,4,8,1,,3,1,4,32,1168
101152,5,3,1,,3,1,4,32,1168
101215,1,2,1,,3,1,4,33,1130
101215,2,4,1,,3,1,4,33,1130
101215,3,4,1,,3,1,4,33,1130
101215,4,4,1,,3,1,4,33,1130
101215,5,4,1,,3,1,4,33,1130
101223,1,3,1,,3,1,4,34,1108
101223,2,5,1,,3,1,4,34,1108
101223,3,4,1,,3,1,4,34,1108
101223,4,4,1,,3,1,4,34,1108
101223,5,4,1,,3,1,4,34,1108
101513,1,5,1,,3,1,3,35,1263
101513,2,3,1,,3,1,3,35,1263
101513,3,1,1,,3,1,3,35,1263
101513,4,2,1,,3,1,3,35,1263
101513,5,2,1,,3,1,3,35,1263
101602,1,2,1,,3,1,5,36,1510
101602,2,3,1,,3,1,5,36,1510
101602,3,2,1,,3,1,5,36,1510
101602,4,4,1,,3,1,5,36,1510
101602,5,5,1,,3,1,5,36,1510
101644,1,7,1,,3,1,3,37,1019
101644,2,5,1,,3,1,3,37,1019
101644,3,6,1,,3,1,3,37,1019
101644,4,1,1,,3,1,3,37,1019
101644,5,4,1,,3,1,3,37,1019
101779,1,1,1,,3,1,3,38,950
101779,2,5,1,,3,1,3,38,950
101779,3,1,1,,3,1,3,38,950
101779,4,5,1,,3,1,3,38,950
101779,5,4,1,,3,1,3,38,950
101791,1,2,1,,3,1,3,39,951
101791,2,6,1,,3,1,3,39,951
101791,3,5,1,,3,1,3,39,951
101791,4,6,1,,3,1,3,39,951
101791,5,2,1,,3,1,3,39,951
101830,1,3,1,,3,1,3,40,1011
101830,2,1,1,,3,1,3,40,1011
101830,3,6,1,,3,1,3,40,1011
101830,4,4,1,,3,1,3,40,1011
101830,5,4,1,,3,1,3,40,1011
101858,1,5,1,,3,1,5,41,1361
101858,2,3,1,,3,1,5,41,1361
101858,3,3,1,,3,1,5,41,1361
101858,4,4,1,,3,1,5,41,1361
101858,5,4,1,,3,1,5,41,1361
101923,1,5,1,,3,1,3,42,1128
101923,2,5,1,,3,1,3,42,1128
101923,3,6,1,,3,1,3,42,1128
101923,4,4,1,,3,1,3,42,1128
101923,5,4,1,,3,1,3,42,1128
101931,1,4,1,,3,1,5,43,1416
101931,2,4,1,,3,1,5,43,1416
101931,3,3,1,,3,1,5,43,1416
101931,4,3,1,,3,1,5,43,1416
101931,5,2,1,,3,1,5,43,1416
101988,1,4,1,,3,1,3,44,1093
101988,2,6,1,,3,1,3,44,1093
101988,4,1,1,,3,1,3,44,1093
101988,5,1,1,,3,1,3,44,1093
102023,1,5,1,,3,2,3,45,1058
102023,2,5,1,,3,2,3,45,1058
102023,3,4,1,,3,2,3,45,1058
102023,4,11,1,,3,2,3,45,1058
102023,5,5,1,,3,2,3,45,1058
102062,1,4,1,,3,2,3,46,1010
102062,2,3,1,,3,2,3,46,1010
102062,3,5,1,,3,2,3,46,1010
102062,4,6,1,,3,2,3,46,1010
102062,5,7,1,,3,2,3,46,1010
102157,1,5,1,,3,2,1,47,1294
102157,2,3,1,,3,2,1,47,1294
102157,3,5,1,,3,2,1,47,1294
102157,4,2,1,,3,2,1,47,1294
102157,5,6,1,,3,2,1,47,1294
102157,6,2,1,,3,2,1,47,1294
102157,7,3,1,,3,2,1,47,1294
102157,8,2,1,,3,2,1,47,1294
102157,9,4,1,,3,2,1,47,1294
102157,10,4,1,,3,2,1,47,1294
102157,11,4,1,,3,2,1,47,1294
102157,12,2,1,,3,2,1,47,1294
102157,13,2,1,,3,2,1,47,1294
102157,14,1,1,,3,2,1,47,1294
102157,15,6,1,,3,2,1,47,1294
102157,16,4,1,,3,2,1,47,1294
102157,17,3,1,,3,2,1,47,1294
102157,18,9,1,,3,2,1,47,1294
102157,19,4,1,,3,2,1,47,1294
102157,20,3,1,,3,2,1,47,1294
102284,1,2,1,,3,3,4,48,1237
102284,2,1,1,,3,3,4,48,1237
102284,4,3,1,,3,3,4,48,1237
102366,1,5,1,,3,3,1,49,1331
102366,2,6,1,,3,3,1,49,1331
102366,3,3,1,,3,3,1,49,1331
102366,4,5,1,,3,3,1,49,1331
102366,5,2,1,,3,3,1,49,1331
102366,6,5,1,,3,3,1,49,1331
102366,7,6,1,,3,3,1,49,1331
102366,8,4,1,,3,3,1,49,1331
102366,9,5,1,,3,3,1,49,1331
102366,11,4,1,,3,3,1,49,1331
102366,12,5,1,,3,3,1,49,1331
102366,13,2,1,,3,3,1,49,1331
102366,15,4,1,,3,3,1,49,1331
102366,16,3,1,,3,3,1,49,1331
102366,17,8,1,,3,3,1,49,1331
102366,18,5,1,,3,3,1,49,1331
102366,19,3,1,,3,3,1,49,1331
102366,20,4,1,,3,3,1,49,1331
160041,1,4,1,,3,4,2,50,1563
160041,2,1,1,,3,4,2,50,1563
160041,3,1,1,,3,4,2,50,1563
160041,4,5,1,,3,4,2,50,1563
160041,5,2,1,,3,4,2,50,1563
160041,6,2,1,,3,4,2,50,1563
160041,7,3,1,,3,4,2,50,1563
160041,8,2,1,,3,4,2,50,1563
160041,9,4,1,,3,4,2,50,1563
160041,10,3,1,,3,4,2,50,1563
160041,11,1,1,,3,4,2,50,1563
160041,12,4,1,,3,4,2,50,1563
160041,13,1,1,,3,4,2,50,1563
160041,14,4,1,,3,4,2,50,1563
160041,15,4,1,,3,4,2,50,1563
160041,17,1,1,,3,4,2,50,1563
160041,19,2,1,,3,4,2,50,1563
160041,20,6,1,,3,4,2,50,1563
160060,1,2,1,,3,4,2,51,1801
160060,2,5,1,,3,4,2,51,1801
160060,3,7,1,,3,4,2,51,1801
160060,4,15,2,3,3,4,2,51,1801
160060,5,3,1,,3,4,2,51,1801
160060,6,4,1,,3,4,2,51,1801
160060,7,1,1,,3,4,2,51,1801
160060,8,5,1,,3,4,2,51,1801
160060,9,1,1,,3,4,2,51,1801
160060,10,5,1,,3,4,2,51,1801
160060,11,4,1,,3,4,2,51,1801
160060,12,4,1,,3,4,2,51,1801
160060,13,2,1,,3,4,2,51,1801
160060,14,3,1,,3,4,2,51,1801
160060,15,3,1,,3,4,2,51,1801
160060,16,4,1,,3,4,2,51,1801
160060,17,2,1,,3,4,2,51,1801
160060,18,3,1,,3,4,2,51,1801
160060,19,5,1,,3,4,2,51,1801
160060,20,4,1,,3,4,2,51,1801
160192,5,5,1,,3,4,2,52,847
160192,6,4,1,,3,4,2,52,847
160192,7,2,1,,3,4,2,52,847
160192,9,2,1,,3,4,2,52,847
160192,10,5,1,,3,4,2,52,847
160192,12,2,1,,3,4,2,52,847
160192,13,4,1,,3,4,2,52,847
160192,14,3,1,,3,4,2,52,847
160192,15,1,1,,3,4,2,52,847
160192,16,1,1,,3,4,2,52,847
160192,17,2,1,,3,4,2,52,847
160192,19,1,1,,3,4,2,52,847
160192,20,4,1,,3,4,2,52,847
200028,1,2,1,,1,1,9,53,3014
200028,2,1,1,,1,1,9,53,3014
200028,3,2,1,,1,1,9,53,3014
200028,4,5,1,,1,1,9,53,3014
200030,2,3,1,,1,1,10,54,3309
200030,3,2,1,,1,1,10,54,3309
200030,4,4,1,,1,1,10,54,3309
200030,5,3,1,,1,1,10,54,3309
200199,1,3,1,,1,1,9,55,2413
200199,2,1,1,,1,1,9,55,2413
200199,3,1,1,,1,1,9,55,2413
200199,4,4,1,,1,1,9,55,2413
200199,5,2,1,,1,1,9,55,2413
