UPM,VIV_SEL,HOGAR,N_REN,P7_1_1,P7_1_2,P7_1_3,P7_1_4,P7_1_5,P7_1_6,P7_1_7,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6_1,P8_7_1,P8_8_1,P8_9_1,P8_10_1,P8_11_1,P8_6_2,P8_7_2,P8_8_2,P8_9_2,P8_10_2,P8_11_2,P8_6_3,P8_7_3,P8_8_3,P8_9_3,P8_10_3,P8_11_3,P8_6_4,P8_7_4,P8_8_4,P8_9_4,P8_10_4,P8_11_4,P8_6_5,P8_7_5,P8_8_5,P8_9_5,P8_10_5,P8_11_5,P8_6_6,P8_6_7,P8_6_8,P8_12_1,P8_12_2,P8_12_3,P8_12_4,P8_12_5,P8_13,P8_14_1,P8_14_2,P8_14_3,P8_14_4,P8_14_5,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P9_7,P9_8,P9_9_1,P9_9_2,P9_9_3,P9_9_4,P9_9_5,P10_1,P10_2,P10_3_1,P10_3_2,P10_3_3,P10_3_4,P10_3_5,P10_3_6,P10_3_7,P10_4_1,P10_4_2,P10_5,P10_6_1,P10_6_2,P10_7_1,P10_7_2,P10_8,P10_9,P10_10_1,P10_10_2,P10_10_3,P10_10_4,P10_10_5,P10_10_6,P10_10_7,P10_11_1,P10_11_2,P10_12,P10_13,P10_14,P10_15_1,P10_15_2,P10_16,P11_1_1,P11_1_2,P11_1_3,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_2_9,P11_3,P11_4_1,P11_5_1,P11_6_1,P11_4_2,P11_5_2,P11_6_2,P11_4_3,P11_5_3,P11_6_3,P11_4_4,P11_5_4,P11_6_4,P12_1,P12_2,P12_3,P12_4,P13_1,P13_2_1,P13_3_1,P13_4_1,P13_2_2,P13_3_2,P13_4_2,P13_2_3,P13_3_3,P13_4_3,P13_2_4,EDAD,SEXO,REGION,TLOC,EST_DIS,UPM_DIS,FAC_PER
0100041,02,01,01,1,1,9,1,1,1,9,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,1,2,2,1,2,2,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,2,8,,,,2,2,2,0,0,1,0,0,2,,,,,,,,,,,,,1,1,1,3,2,2,,,2,,,2,,,2,30,1,3,1,004,00001,2611
0100041,03,01,02,1,1,9,1,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,2,2,1,2,2,8,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,00,05,000,2,1,,,,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,2,2,3,1,2,,,2,,,2,,,2,69,2,3,1,004,00001,2998
0100041,04,01,01,1,1,1,1,1,1,1,1,,,,,2,,,,,,2,,,,,,1,1,1,1,1,,1,1,1,1,1,,2,,,,,,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,,99,,,,,,1,1,2,2,2,1,,1,0,0,0,0,0,0,00,05,000,00,30,2,2,1,,1,0,0,0,0,0,0,00,05,000,1,,00,03,000,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,2,3,1,2,,,1,1,3,2,,,2,43,2,3,1,004,00001,2139
0100041,05,01,01,1,1,1,1,1,1,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,02,2,1,2,2,8,1,1,2,2,2,1,,1,0,0,0,0,0,0,00,03,000,00,05,1,2,1,,1,0,0,0,0,0,0,00,03,000,1,,00,05,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,1,1,3,2,2,,,2,,,2,,,2,50,2,3,1,004,00001,3509
0100067,01,01,01,2,2,1,1,1,1,1,1,,,,,1,2,,,3,,1,2,,,3,,2,,,,,,2,,,,,,2,,,,,,2,2,2,,,,,,,,,,,,1,,02,2,1,1,1,,2,1,1,2,2,1,,1,0,0,0,0,0,0,00,10,000,00,20,1,2,1,,1,0,0,0,0,0,0,00,10,000,2,1,,,,2,2,2,0,1,0,0,0,2,,,,,,,,,,,,,1,2,2,3,1,2,,,2,,,2,,,2,45,2,3,1,005,00002,1357
0100067,05,01,02,1,2,9,9,1,1,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,2,1,2,1,2,1,,1,1,0,0,0,0,0,00,05,000,00,10,1,2,1,,1,0,0,0,0,0,0,00,05,000,1,,00,03,000,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,1,2,2,3,2,2,,,2,,,2,,,2,25,2,3,1,005,00002,1833
0100217,04,01,01,1,9,1,9,1,9,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,2,2,2,2,2,2,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,,2,8,,,,2,2,2,0,0,0,0,1,,,,,,,,,,,,,,9,9,,9,1,2,,,2,,,2,,,2,51,1,3,1,003,00004,1366
0100220,02,01,01,1,1,1,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,07,2,5,1,2,9,2,1,2,2,2,1,,1,1,0,0,0,0,0,00,10,000,00,40,1,2,1,,1,0,0,1,0,0,0,00,15,000,1,,00,05,000,2,1,2,0,1,0,0,0,2,,,,,,,,,,,,,1,3,3,3,2,2,,,2,,,2,,,2,39,1,3,1,004,00005,2284
0100220,03,01,01,1,1,1,1,1,9,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,01,2,4,1,1,,9,1,2,2,2,1,,1,0,0,0,0,0,0,00,30,015,00,10,1,2,1,,1,0,0,0,0,0,0,00,30,015,1,,00,20,000,2,9,2,1,0,0,0,0,2,,,,,,,,,,,,,1,2,1,3,1,2,,,2,,,2,,,2,32,1,3,1,004,00005,1142
0100220,04,01,02,1,1,1,9,9,9,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,07,2,1,1,1,,1,1,9,2,2,2,3,,,,,,,,,,,,,,,1,,1,1,0,0,0,0,0,00,10,000,1,,00,05,000,2,2,2,1,0,0,0,0,2,,,,,,,,,,,,,1,1,1,2,2,2,,,2,,,2,,,2,26,2,3,1,004,00005,2527
