UPM,VIV_SEL,HOGAR,N_REN,SEXO,EDAD,REGION,TLOC,EST_DIS,UPM_DIS,FAC_HOG
100041,2,1,1,1,30,3,1,4,1,1239
100041,2,1,2,2,28,3,1,4,1,1239
100041,2,1,3,1,8,3,1,4,1,1239
100041,2,1,5,2,6,3,1,4,1,1239
100041,3,1,1,1,70,3,1,4,1,1239
100041,3,1,2,2,69,3,1,4,1,1239
100041,4,1,1,2,43,3,1,4,1,1239
100041,4,1,2,1,14,3,1,4,1,1239
100041,4,1,3,2,18,3,1,4,1,1239
100041,4,1,4,2,14,3,1,4,1,1239
100041,4,1,5,1,10,3,1,4,1,1239
100041,5,1,1,2,50,3,1,4,1,1239
100041,5,1,2,2,28,3,1,4,1,1239
100041,5,1,3,1,21,3,1,4,1,1239
100041,5,1,4,1,17,3,1,4,1,1239
100041,5,1,5,2,9,3,1,4,1,1239
100041,5,1,6,2,6,3,1,4,1,1239
100067,1,1,1,2,45,3,1,5,2,1572
100067,1,1,2,2,14,3,1,5,2,1572
100067,1,1,3,1,11,3,1,5,2,1572
100067,5,1,1,2,73,3,1,5,2,1572
100067,5,1,2,2,25,3,1,5,2,1572
100067,5,1,3,2,1,3,1,5,2,1572
100121,1,1,1,2,78,3,1,4,3,861
100121,2,1,1,1,72,3,1,4,3,861
100121,2,1,2,2,72,3,1,4,3,861
100121,4,1,1,2,77,3,1,4,3,861
100121,4,1,2,1,89,3,1,4,3,861
100217,3,1,1,2,79,3,1,3,4,957
100217,4,1,1,1,51,3,1,3,4,957
100217,5,1,1,2,71,3,1,3,4,957
100220,2,1,1,1,39,3,1,4,5,1084
100220,2,1,2,2,42,3,1,4,5,1084
100220,3,1,1,1,32,3,1,4,5,1084
100220,3,1,2,1,4,3,1,4,5,1084
100220,4,1,1,2,56,3,1,4,5,1084
100220,4,1,2,2,26,3,1,4,5,1084
100261,1,1,1,1,47,3,1,4,6,1096
100261,1,1,2,2,45,3,1,4,6,1096
100261,1,1,3,2,24,3,1,4,6,1096
100261,1,1,4,1,21,3,1,4,6,1096
100261,1,1,5,2,14,3,1,4,6,1096
100261,2,1,1,2,56,3,1,4,6,1096
100261,2,1,2,1,26,3,1,4,6,1096
100261,3,1,1,1,43,3,1,4,6,1096
100261,3,1,2,2,85,3,1,4,6,1096
100261,3,1,3,1,17,3,1,4,6,1096
100261,3,1,4,1,14,3,1,4,6,1096
100261,3,1,5,1,10,3,1,4,6,1096
100261,3,1,6,2,48,3,1,4,6,1096
100261,4,1,1,2,93,3,1,4,6,1096
100261,5,1,1,1,79,3,1,4,6,1096
100261,5,1,2,1,39,3,1,4,6,1096
100261,5,1,3,2,32,3,1,4,6,1096
100261,5,1,4,2,9,3,1,4,6,1096
100261,5,1,5,1,8,3,1,4,6,1096
100283,1,1,1,1,80,3,1,4,7,1144
100283,1,1,2,1,52,3,1,4,7,1144
100283,1,1,3,1,15,3,1,4,7,1144
100283,1,1,4,2,77,3,1,4,7,1144
100283,2,1,1,1,60,3,1,4,7,1144
100283,3,1,1,2,63,3,1,4,7,1144
100283,3,1,2,1,32,3,1,4,7,1144
100283,5,1,1,1,30,3,1,4,7,1144
100298,1,1,1,1,77,3,1,5,8,1411
100298,1,1,2,2,79,3,1,5,8,1411
100298,2,1,1,1,78,3,1,5,8,1411
100298,2,1,2,2,76,3,1,5,8,1411
100298,4,1,1,1,67,3,1,5,8,1411
100298,4,1,2,2,64,3,1,5,8,1411
100298,4,1,3,2,35,3,1,5,8,1411
100320,1,1,1,1,55,3,1,4,9,1177
100320,1,1,2,2,55,3,1,4,9,1177
100320,1,1,3,1,21,3,1,4,9,1177
100320,1,1,4,1,21,3,1,4,9,1177
100320,1,1,5,2,21,3,1,4,9,1177
100320,2,1,1,1,74,3,1,4,9,1177
100320,2,1,2,2,69,3,1,4,9,1177
100320,2,1,3,2,45,3,1,4,9,1177
100320,2,1,4,1,42,3,1,4,9,1177
100320,2,1,5,2,17,3,1,4,9,1177
100320,2,1,6,1,7,3,1,4,9,1177
100320,3,1,1,2,86,3,1,4,9,1177
100320,3,1,2,2,48,3,1,4,9,1177
100320,3,1,3,1,59,3,1,4,9,1177
100320,4,1,1,1,64,3,1,4,9,1177
100320,4,1,2,2,63,3,1,4,9,1177
100320,4,1,3,2,29,3,1,4,9,1177
100320,4,1,4,1,22,3,1,4,9,1177
100320,5,1,1,2,66,3,1,4,9,1177
100320,5,1,2,1,35,3,1,4,9,1177
100320,5,1,3,2,30,3,1,4,9,1177
100340,1,1,1,1,36,3,1,4,10,1218
100340,1,1,2,2,30,3,1,4,10,1218
100340,2,1,1,1,70,3,1,4,10,1218
100340,2,1,2,2,58,3,1,4,10,1218
100340,3,1,1,2,52,3,1,4,10,1218
100340,3,1,2,2,27,3,1,4,10,1218
100340,3,1,3,2,10,3,1,4,10,1218
100340,4,1,1,1,27,3,1,4,10,1218
100340,4,1,2,2,25,3,1,4,10,1218
100340,4,1,3,2,7,3,1,4,10,1218
100340,4,1,4,1,5,3,1,4,10,1218
100340,4,1,5,2,2,3,1,4,10,1218
100340,4,1,6,2,1,3,1,4,10,1218
100340,5,1,1,1,77,3,1,4,10,1218
100340,5,1,2,2,76,3,1,4,10,1218
100340,5,1,3,1,52,3,1,4,10,1218
100340,5,1,4,1,37,3,1,4,10,1218
100397,1,1,1,2,60,3,1,3,11,1043
100397,1,1,2,1,31,3,1,3,11,1043
100397,1,1,3,2,32,3,1,3,11,1043
100397,2,1,1,2,71,3,1,3,11,1043
100397,3,1,1,1,13,3,1,3,11,1043
100397,3,1,2,2,10,3,1,3,11,1043
100397,3,1,3,2,40,3,1,3,11,1043
100397,4,1,1,2,34,3,1,3,11,1043
100397,4,1,2,2,50,3,1,3,11,1043
100397,4,1,3,1,34,3,1,3,11,1043
100397,4,1,4,1,4,3,1,3,11,1043
100397,5,1,1,1,43,3,1,3,11,1043
100397,5,1,2,2,42,3,1,3,11,1043
100397,5,1,3,2,5,3,1,3,11,1043
100397,5,1,4,2,1,3,1,3,11,1043
100446,1,1,1,2,43,3,1,3,12,1086
100446,1,1,2,2,19,3,1,3,12,1086
100446,1,1,3,1,20,3,1,3,12,1086
100446,1,1,4,1,20,3,1,3,12,1086
100446,1,1,5,2,2,3,1,3,12,1086
100446,2,1,1,1,55,3,1,3,12,1086
100446,2,1,2,2,46,3,1,3,12,1086
100446,2,1,3,1,25,3,1,3,12,1086
100446,3,1,1,1,61,3,1,3,12,1086
100446,3,1,2,2,61,3,1,3,12,1086
100446,3,1,3,1,37,3,1,3,12,1086
100446,4,1,1,1,69,3,1,3,12,1086
100446,4,1,2,2,57,3,1,3,12,1086
100446,5,1,1,1,42,3,1,3,12,1086
100446,5,1,2,2,32,3,1,3,12,1086
100446,5,1,3,1,15,3,1,3,12,1086
100446,5,1,4,1,12,3,1,3,12,1086
100446,5,1,5,2,10,3,1,3,12,1086
100451,1,1,1,1,60,3,1,3,13,1113
100451,1,1,2,2,7,3,1,3,13,1113
100451,2,1,1,2,50,3,1,3,13,1113
100451,2,1,2,1,62,3,1,3,13,1113
100451,2,1,3,1,32,3,1,3,13,1113
100451,2,1,4,1,22,3,1,3,13,1113
100451,2,1,5,1,12,3,1,3,13,1113
100451,3,1,1,1,69,3,1,3,13,1113
100451,3,1,2,2,55,3,1,3,13,1113
100451,4,1,1,2,66,3,1,3,13,1113
100451,4,1,2,2,36,3,1,3,13,1113
100451,4,1,3,2,34,3,1,3,13,1113
100451,4,1,4,1,17,3,1,3,13,1113
100451,4,1,5,2,12,3,1,3,13,1113
100451,4,1,6,1,10,3,1,3,13,1113
100451,4,1,7,2,9,3,1,3,13,1113
100451,4,1,8,1,6,3,1,3,13,1113
100451,5,1,1,2,48,3,1,3,13,1113
100451,5,1,2,2,15,3,1,3,13,1113
100451,5,1,3,1,13,3,1,3,13,1113
100451,5,1,4,2,11,3,1,3,13,1113
100483,1,1,1,2,27,3,1,4,14,1217
100483,1,1,2,1,3,3,1,4,14,1217
