UPM,VIV_SEL,P1_1,P1_2,P1_3,REGION,TLOC,EST_DIS,UPM_DIS,FAC_VIV
0100041,02,04,1,,3,1,004,00001,1239
0100041,03,02,1,,3,1,004,00001,1239
0100041,04,05,1,,3,1,004,00001,1239
0100041,05,06,1,,3,1,004,00001,1239
0100067,01,03,1,,3,1,005,00002,1572
0100067,05,03,1,,3,1,005,00002,1572
0100121,01,01,1,,3,1,004,00003,861
0100121,02,02,1,,3,1,004,00003,861
0100121,04,02,1,,3,1,004,00003,861
0100217,03,01,1,,3,1,003,00004,957
0100217,04,01,1,,3,1,003,00004,957
0100217,05,01,1,,3,1,003,00004,957
0100220,02,02,1,,3,1,004,00005,1084
0100220,03,02,1,,3,1,004,00005,1084
0100220,04,02,1,,3,1,004,00005,1084
0100261,01,05,1,,3,1,004,00006,1096
0100261,02,02,1,,3,1,004,00006,1096
0100261,03,06,1,,3,1,004,00006,1096
0100261,04,01,1,,3,1,004,00006,1096
0100261,05,05,1,,3,1,004,00006,1096
0100283,01,04,1,,3,1,004,00007,1144
0100283,02,01,1,,3,1,004,00007,1144
0100283,03,02,1,,3,1,004,00007,1144
0100283,05,01,1,,3,1,004,00007,1144
0100298,01,02,1,,3,1,005,00008,1411
0100298,02,02,1,,3,1,005,00008,1411
0100298,04,03,1,,3,1,005,00008,1411
0100320,01,05,1,,3,1,004,00009,1177
0100320,02,06,1,,3,1,004,00009,1177
0100320,03,03,1,,3,1,004,00009,1177
0100320,04,04,1,,3,1,004,00009,1177
0100320,05,03,1,,3,1,004,00009,1177
0100340,01,02,1,,3,1,004,00010,1218
0100340,02,02,1,,3,1,004,00010,1218
0100340,03,03,1,,3,1,004,00010,1218
0100340,04,06,1,,3,1,004,00010,1218
0100340,05,04,1,,3,1,004,00010,1218
0100397,01,03,1,,3,1,003,00011,1043
0100397,02,01,1,,3,1,003,00011,1043
0100397,03,03,1,,3,1,003,00011,1043
0100397,04,04,1,,3,1,003,00011,1043
0100397,05,04,1,,3,1,003,00011,1043
0100446,01,05,1,,3,1,003,00012,1086
0100446,02,03,1,,3,1,003,00012,1086
0100446,03,03,1,,3,1,003,00012,1086
0100446,04,02,1,,3,1,003,00012,1086
0100446,05,05,1,,3,1,003,00012,1086
0100451,01,02,1,,3,1,003,00013,1113
0100451,02,05,1,,3,1,003,00013,1113
0100451,03,02,1,,3,1,003,00013,1113
0100451,04,08,1,,3,1,003,00013,1113
0100451,05,04,1,,3,1,003,00013,1113
0100483,01,02,1,,3,1,004,00014,1217
0100483,02,02,1,,3,1,004,00014,1217
0100483,03,05,1,,3,1,004,00014,1217
0100483,04,02,1,,3,1,004,00014,1217
0100483,05,03,1,,3,1,004,00014,1217
0100502,01,04,1,,3,1,005,00015,1495
0100502,02,02,1,,3,1,005,00015,1495
