"VIV_SEL","HOGAR","N_REN","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","FAC_HOG","UPM"
2,1,1,1,3,1,30,4,1,1239,100041
2,1,2,1,3,2,28,4,1,1239,100041
2,1,3,1,3,1,8,4,1,1239,100041
2,1,5,1,3,2,6,4,1,1239,100041
3,1,1,1,3,1,70,4,1,1239,100041
3,1,2,1,3,2,69,4,1,1239,100041
4,1,1,1,3,2,43,4,1,1239,100041
4,1,2,1,3,1,14,4,1,1239,100041
4,1,3,1,3,2,18,4,1,1239,100041
4,1,4,1,3,2,14,4,1,1239,100041
4,1,5,1,3,1,10,4,1,1239,100041
5,1,1,1,3,2,50,4,1,1239,100041
5,1,2,1,3,2,28,4,1,1239,100041
5,1,3,1,3,1,21,4,1,1239,100041
5,1,4,1,3,1,17,4,1,1239,100041
5,1,5,1,3,2,9,4,1,1239,100041
5,1,6,1,3,2,6,4,1,1239,100041
1,1,1,1,3,2,45,5,2,1572,100067
1,1,2,1,3,2,14,5,2,1572,100067
1,1,3,1,3,1,11,5,2,1572,100067
5,1,1,1,3,2,73,5,2,1572,100067
5,1,2,1,3,2,25,5,2,1572,100067
5,1,3,1,3,2,1,5,2,1572,100067
1,1,1,1,3,2,78,4,3,861,100121
2,1,1,1,3,1,72,4,3,861,100121
2,1,2,1,3,2,72,4,3,861,100121
4,1,1,1,3,2,77,4,3,861,100121
4,1,2,1,3,1,89,4,3,861,100121
3,1,1,1,3,2,79,3,4,957,100217
4,1,1,1,3,1,51,3,4,957,100217
5,1,1,1,3,2,71,3,4,957,100217
2,1,1,1,3,1,39,4,5,1084,100220
2,1,2,1,3,2,42,4,5,1084,100220
3,1,1,1,3,1,32,4,5,1084,100220
3,1,2,1,3,1,4,4,5,1084,100220
4,1,1,1,3,2,56,4,5,1084,100220
4,1,2,1,3,2,26,4,5,1084,100220
1,1,1,1,3,1,47,4,6,1096,100261
1,1,2,1,3,2,45,4,6,1096,100261
1,1,3,1,3,2,24,4,6,1096,100261
1,1,4,1,3,1,21,4,6,1096,100261
1,1,5,1,3,2,14,4,6,1096,100261
2,1,1,1,3,2,56,4,6,1096,100261
2,1,2,1,3,1,26,4,6,1096,100261
3,1,1,1,3,1,43,4,6,1096,100261
3,1,2,1,3,2,85,4,6,1096,100261
3,1,3,1,3,1,17,4,6,1096,100261
3,1,4,1,3,1,14,4,6,1096,100261
3,1,5,1,3,1,10,4,6,1096,100261
3,1,6,1,3,2,48,4,6,1096,100261
4,1,1,1,3,2,93,4,6,1096,100261
5,1,1,1,3,1,79,4,6,1096,100261
5,1,2,1,3,1,39,4,6,1096,100261
5,1,3,1,3,2,32,4,6,1096,100261
5,1,4,1,3,2,9,4,6,1096,100261
5,1,5,1,3,1,8,4,6,1096,100261
1,1,1,1,3,1,80,4,7,1144,100283
1,1,2,1,3,1,52,4,7,1144,100283
1,1,3,1,3,1,15,4,7,1144,100283
1,1,4,1,3,2,77,4,7,1144,100283
2,1,1,1,3,1,60,4,7,1144,100283
3,1,1,1,3,2,63,4,7,1144,100283
3,1,2,1,3,1,32,4,7,1144,100283
5,1,1,1,3,1,30,4,7,1144,100283
1,1,1,1,3,1,77,5,8,1411,100298
1,1,2,1,3,2,79,5,8,1411,100298
2,1,1,1,3,1,78,5,8,1411,100298
2,1,2,1,3,2,76,5,8,1411,100298
4,1,1,1,3,1,67,5,8,1411,100298
4,1,2,1,3,2,64,5,8,1411,100298
4,1,3,1,3,2,35,5,8,1411,100298
1,1,1,1,3,1,55,4,9,1177,100320
1,1,2,1,3,2,55,4,9,1177,100320
1,1,3,1,3,1,21,4,9,1177,100320
1,1,4,1,3,1,21,4,9,1177,100320
1,1,5,1,3,2,21,4,9,1177,100320
2,1,1,1,3,1,74,4,9,1177,100320
2,1,2,1,3,2,69,4,9,1177,100320
2,1,3,1,3,2,45,4,9,1177,100320
2,1,4,1,3,1,42,4,9,1177,100320
2,1,5,1,3,2,17,4,9,1177,100320
2,1,6,1,3,1,7,4,9,1177,100320
3,1,1,1,3,2,86,4,9,1177,100320
3,1,2,1,3,2,48,4,9,1177,100320
3,1,3,1,3,1,59,4,9,1177,100320
4,1,1,1,3,1,64,4,9,1177,100320
4,1,2,1,3,2,63,4,9,1177,100320
4,1,3,1,3,2,29,4,9,1177,100320
4,1,4,1,3,1,22,4,9,1177,100320
5,1,1,1,3,2,66,4,9,1177,100320
5,1,2,1,3,1,35,4,9,1177,100320
5,1,3,1,3,2,30,4,9,1177,100320
1,1,1,1,3,1,36,4,10,1218,100340
1,1,2,1,3,2,30,4,10,1218,100340
2,1,1,1,3,1,70,4,10,1218,100340
2,1,2,1,3,2,58,4,10,1218,100340
