"VIV_SEL","TLOC","REGION","EST_DIS","UPM_DIS","P1_1","P1_2","FAC_VIV","UPM"
2,1,3,4,1,4,1,1239,100041
3,1,3,4,1,2,1,1239,100041
4,1,3,4,1,5,1,1239,100041
5,1,3,4,1,6,1,1239,100041
1,1,3,5,2,3,1,1572,100067
5,1,3,5,2,3,1,1572,100067
1,1,3,4,3,1,1,861,100121
2,1,3,4,3,2,1,861,100121
4,1,3,4,3,2,1,861,100121
3,1,3,3,4,1,1,957,100217
4,1,3,3,4,1,1,957,100217
5,1,3,3,4,1,1,957,100217
2,1,3,4,5,2,1,1084,100220
3,1,3,4,5,2,1,1084,100220
4,1,3,4,5,2,1,1084,100220
1,1,3,4,6,5,1,1096,100261
2,1,3,4,6,2,1,1096,100261
3,1,3,4,6,6,1,1096,100261
4,1,3,4,6,1,1,1096,100261
5,1,3,4,6,5,1,1096,100261
1,1,3,4,7,4,1,1144,100283
2,1,3,4,7,1,1,1144,100283
3,1,3,4,7,2,1,1144,100283
5,1,3,4,7,1,1,1144,100283
1,1,3,5,8,2,1,1411,100298
2,1,3,5,8,2,1,1411,100298
4,1,3,5,8,3,1,1411,100298
1,1,3,4,9,5,1,1177,100320
2,1,3,4,9,6,1,1177,100320
3,1,3,4,9,3,1,1177,100320
4,1,3,4,9,4,1,1177,100320
5,1,3,4,9,3,1,1177,100320
1,1,3,4,10,2,1,1218,100340
2,1,3,4,10,2,1,1218,100340
3,1,3,4,10,3,1,1218,100340
4,1,3,4,10,6,1,1218,100340
5,1,3,4,10,4,1,1218,100340
1,1,3,3,11,3,1,1043,100397
2,1,3,3,11,1,1,1043,100397
3,1,3,3,11,3,1,1043,100397
4,1,3,3,11,4,1,1043,100397
5,1,3,3,11,4,1,1043,100397
1,1,3,3,12,5,1,1086,100446
2,1,3,3,12,3,1,1086,100446
3,1,3,3,12,3,1,1086,100446
4,1,3,3,12,2,1,1086,100446
5,1,3,3,12,5,1,1086,100446
1,1,3,3,13,2,1,1113,100451
2,1,3,3,13,5,1,1113,100451
3,1,3,3,13,2,1,1113,100451
4,1,3,3,13,8,1,1113,100451
5,1,3,3,13,4,1,1113,100451
1,1,3,4,14,2,1,1217,100483
2,1,3,4,14,2,1,1217,100483
3,1,3,4,14,5,1,1217,100483
4,1,3,4,14,2,1,1217,100483
5,1,3,4,14,3,1,1217,100483
1,1,3,5,15,4,1,1495,100502
2,1,3,5,15,2,1,1495,100502
3,1,3,5,15,3,1,1495,100502
4,1,3,5,15,5,1,1495,100502
5,1,3,5,15,2,1,1495,100502
2,1,3,5,16,4,1,1388,100504
3,1,3,5,16,4,1,1388,100504
4,1,3,5,16,5,1,1388,100504
1,1,3,4,17,3,1,1217,100565
2,1,3,4,17,5,1,1217,100565
3,1,3,4,17,3,1,1217,100565
4,1,3,4,17,4,1,1217,100565
5,1,3,4,17,2,1,1217,100565
1,1,3,4,18,1,1,1177,100601
2,1,3,4,18,2,1,1177,100601
3,1,3,4,18,1,1,1177,100601
4,1,3,4,18,2,1,1177,100601
5,1,3,4,18,3,1,1177,100601
1,1,3,4,19,5,1,1218,100628
2,1,3,4,19,3,1,1218,100628
3,1,3,4,19,4,1,1218,100628
4,1,3,4,19,7,1,1218,100628
5,1,3,4,19,3,1,1218,100628
1,1,3,4,20,5,1,1260,100699
2,1,3,4,20,5,1,1260,100699
3,1,3,4,20,5,1,1260,100699
4,1,3,4,20,4,1,1260,100699
5,1,3,4,20,2,1,1260,100699
1,1,3,4,21,7,1,1233,100703
2,1,3,4,21,4,1,1233,100703
3,1,3,4,21,2,1,1233,100703
4,1,3,4,21,1,1,1233,100703
5,1,3,4,21,3,1,1233,100703
1,1,3,4,22,1,1,1090,100714
2,1,3,4,22,4,1,1090,100714
3,1,3,4,22,5,1,1090,100714
4,1,3,4,22,3,1,1090,100714
5,1,3,4,22,6,1,1090,100714
1,1,3,3,23,1,1,1096,100743
2,1,3,3,23,3,1,1096,100743
3,1,3,3,23,7,1,1096,100743
4,1,3,3,23,4,1,1096,100743
1,1,3,3,24,6,1,1077,100883
2,1,3,3,24,6,1,1077,100883
4,1,3,3,24,3,1,1077,100883
5,1,3,3,24,3,1,1077,100883
2,1,3,5,25,2,1,1495,100906
3,1,3,5,25,4,1,1495,100906
5,1,3,5,25,4,1,1495,100906
2,1,3,5,26,4,1,1469,100915
3,1,3,5,26,6,1,1469,100915
4,1,3,5,26,1,1,1469,100915
5,1,3,5,26,4,1,1469,100915
1,1,3,4,27,2,1,1227,100957
2,1,3,4,27,3,1,1227,100957
3,1,3,4,27,2,1,1227,100957
5,1,3,4,27,5,1,1227,100957
1,1,3,4,28,5,1,1185,100996
2,1,3,4,28,4,1,1185,100996
3,1,3,4,28,2,1,1185,100996
4,1,3,4,28,4,1,1185,100996
5,1,3,4,28,6,1,1185,100996
1,1,3,4,29,3,1,1169,101024
3,1,3,4,29,2,1,1169,101024
4,1,3,4,29,2,1,1169,101024
5,1,3,4,29,4,1,1169,101024
1,1,3,4,30,2,1,1167,101042
2,1,3,4,30,4,1,1167,101042
3,1,3,4,30,5,1,1167,101042
4,1,3,4,30,5,1,1167,101042
5,1,3,4,30,2,1,1167,101042
1,1,3,3,31,3,1,1140,101075
2,1,3,3,31,7,1,1140,101075
3,1,3,3,31,4,1,1140,101075
4,1,3,3,31,8,1,1140,101075
5,1,3,3,31,2,1,1140,101075
1,1,3,4,32,3,1,1168,101152
2,1,3,4,32,2,1,1168,101152
4,1,3,4,32,8,1,1168,101152
5,1,3,4,32,3,1,1168,101152
1,1,3,4,33,2,1,1130,101215
2,1,3,4,33,4,1,1130,101215
3,1,3,4,33,4,1,1130,101215
4,1,3,4,33,4,1,1130,101215
5,1,3,4,33,4,1,1130,101215
1,1,3,4,34,3,1,1108,101223
2,1,3,4,34,5,1,1108,101223
3,1,3,4,34,4,1,1108,101223
4,1,3,4,34,4,1,1108,101223
5,1,3,4,34,4,1,1108,101223
1,1,3,3,35,5,1,1263,101513
2,1,3,3,35,3,1,1263,101513
3,1,3,3,35,1,1,1263,101513
4,1,3,3,35,2,1,1263,101513
5,1,3,3,35,2,1,1263,101513
1,1,3,5,36,2,1,1510,101602
2,1,3,5,36,3,1,1510,101602
3,1,3,5,36,2,1,1510,101602
4,1,3,5,36,4,1,1510,101602
5,1,3,5,36,5,1,1510,101602
1,1,3,3,37,7,1,1019,101644
2,1,3,3,37,5,1,1019,101644
3,1,3,3,37,6,1,1019,101644
4,1,3,3,37,1,1,1019,101644
5,1,3,3,37,4,1,1019,101644
1,1,3,3,38,1,1,950,101779
2,1,3,3,38,5,1,950,101779
3,1,3,3,38,1,1,950,101779
4,1,3,3,38,5,1,950,101779
5,1,3,3,38,4,1,950,101779
1,1,3,3,39,2,1,951,101791
2,1,3,3,39,6,1,951,101791
3,1,3,3,39,5,1,951,101791
4,1,3,3,39,6,1,951,101791
5,1,3,3,39,2,1,951,101791
1,1,3,3,40,3,1,1011,101830
2,1,3,3,40,1,1,1011,101830
3,1,3,3,40,6,1,1011,101830
4,1,3,3,40,4,1,1011,101830
5,1,3,3,40,4,1,1011,101830
1,1,3,5,41,5,1,1361,101858
