"UPM","VIV_SEL","HOGAR","N_REN","EDAD","SEXO","REGION","TLOC","EST_DIS","UPM_DIS","FAC_PER","GRA","NIV","P3_1","P3_12","P3_2","P3_3","P3_5","P4_1","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_5","P4_7","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_29","P5_3","P5_4","P6_18","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_3","P10_1","P10_13","P10_8","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_2_9","P12_1","P12_2","P12_3","P12_4","P13_1","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P7_1_1","P7_1_2","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P8_1","P9_1","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5","P1_1","P1_2"
"1300014","3","1","1","52","1","5","1","70","819","2693","3","3","1","2","5","1","1","2","1","2","2","1","2","2","2","1","2","2","1","2","2","1","1","1","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","1","0","1","9","9","9","1","2","2","2","2","1","1","9","1","1","1","1","2","2","9","2","1","1","2","2","1"
"1300109","1","1","1","67","2","5","1","72","820","3692","2","3","1","1","4","1","5","1","2","2","2","1","2","2","2","1","2","2","1","3","3","1","1","2","2","2","2","2","2","2","1","2","1","1","2","2","2","2","2","1","1","1","1","2","2","2","0","1","0","0","0","1","2","2","3","1","1","1","2","2","1","2","9","3","1","3","1","1","2","2","1","2","1","2","2","1"
"1300109","2","1","2","32","2","5","1","72","820","7562","4","8","2","1","5","1","1","1","2","2","2","1","2","2","2","2","1","1","1","2","1","1","1","1","2","2","2","2","1","2","2","1","1","3","2","2","2","2","2","2","1","1","1","2","2","2","0","0","1","0","0","1","3","1","3","1","2","2","2","2","1","1","9","1","1","1","1","2","1","1","1","1","1","2","3","1"
"1300109","4","1","2","59","2","5","1","72","820","12365","5","8","2","1","5","0","1","2","2","2","1","1","1","1","2","2","2","1","1","3","1","1","1","1","2","2","1","2","1","2","1","1","1","2","2","1","2","2","2","2","1","1","1","2","2","2","0","1","0","0","0","1","3","1","3","2","1","2","2","2","1","2","9","1","1","1","1","1","1","2","1","2","2","2","3","1"
"1300109","5","1","2","28","2","5","1","72","820","13885","2","9","3","1","6","0","1","2","1","2","2","2","2","2","2","1","1","1","1","3","2","1","1","1","2","1","2","2","2","2","2","1","1","2","2","2","2","2","2","1","1","1","1","2","2","2","1","1","0","0","0","1","2","1","3","4","1","2","2","2","2","3","9","1","2","3","1","1","1","1","1","2","2","2","3","1"
"1300263","1","1","2","48","2","5","1","71","821","3715","2","9","2","1","5","2","1","1","2","1","2","2","1","1","2","2","1","1","2","1","1","1","1","1","2","2","2","2","1","2","2","1","1","1","2","2","1","2","2","1","1","2","1","1","2","2","0","1","0","0","0","1","2","2","3","2","1","1","2","2","1","2","9","1","1","2","1","1","1","2","1","2","1","2","5","1"
"1300263","2","1","1","67","2","5","1","71","821","1680","6","2","1","1","6","0","1","1","2","2","1","2","2","2","2","2","2","1","2","1","3","1","1","9","2","2","2","2","2","1","2","1","2","3","2","2","2","2","2","2","2","2","1","2","2","2","0","0","0","0","1","1","9","9","3","1","1","2","2","2","1","1","9","1","1","9","6","2","1","2","9","1","2","2","1","1"
"1300263","5","1","2","35","2","5","1","71","821","3441","5","8","2","1","5","0","1","1","1","1","1","2","2","1","2","2","1","1","1","3","1","2","1","1","2","2","2","2","1","2","1","1","1","3","2","2","2","2","2","2","1","1","2","1","2","2","0","1","0","0","0","1","3","2","3","2","1","1","1","2","1","1","9","1","1","1","9","1","1","2","1","1","2","2","4","1"
"1300326","1","1","5","18","1","5","1","71","822","16820","2","4","3","2","6","0","1","2","2","1","2","1","1","1","2","1","2","1","2","3","2","1","1","2","1","2","2","1","1","1","2","2","1","2","2","2","1","1","2","2","1","1","2","2","2","2","0","0","0","0","1","1","2","2","3","2","2","2","1","2","1","1","9","9","1","1","1","2","2","1","1","1","2","2","5","1"
"1300326","2","1","2","59","2","5","1","71","822","6193","3","6","5","2","6","0","5","2","2","2","2","1","2","2","2","2","2","1","1","3","2","1","1","1","2","2","2","2","2","2","2","2","2","3","2","2","1","1","2","2","2","1","2","2","2","2","0","0","0","1","0","1","1","1","3","2","2","2","2","2","1","1","9","1","1","9","1","2","2","1","2","2","2","2","2","1"
