"First column name","Second column name","Correlation value","p value","Degrees of freedom","swap_column","First_Column","Second_Column"
"P10_7","REGION",0.16295459264395737,0,13552,"no_swap","P10_7","REGION"
"P14_2_2","REGION",0.13904879615319282,0,13552,"no_swap","P14_2_2","REGION"
"P7_7_2","REGION",0.12867528966071226,0,13552,"no_swap","P7_7_2","REGION"
"P10_4","REGION",0.1271150409209169,0,13552,"no_swap","P10_4","REGION"
"P5_4_1","REGION",0.11439254421030352,0,13552,"no_swap","P5_4_1","REGION"
"P7_8_1_2","REGION",0.10976203063378207,0,13552,"no_swap","P7_8_1_2","REGION"
"P4_3","REGION",0.10854857477394543,0,13552,"no_swap","P4_3","REGION"
"P4_8_6","REGION",0.10684439884489895,0,13552,"no_swap","P4_8_6","REGION"
"P4_8_5","REGION",0.10533322952548874,0,13552,"no_swap","P4_8_5","REGION"
"P12_1","REGION",-0.129880491578087,0.00000000000000000000000000000000000000000000000000045236991893348804,13552,"no_swap","P12_1","REGION"
"P7_7_4","REGION",-0.13978812724630038,0.0000000000000000000000000000000000000000000000000000000000041264237052958266,13552,"no_swap","P7_7_4","REGION"
"P3_3","REGION",-0.18833863873727835,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019018538537054304,13552,"no_swap","P3_3","REGION"
