FOLIO,VIV_SEL,HOGAR,N_REN,P2_3,SEXO,EDAD,TLOC,REGION,EST_DIS,UPM_DIS,FAC_HOG
1,1,1,2,3,2,60,1,3,3,1,1841
1,1,1,1,1,2,83,1,3,3,1,1841
2,2,1,1,1,2,33,1,3,3,1,1841
2,2,1,2,3,1,15,1,3,3,1,1841
2,2,1,3,3,2,13,1,3,3,1,1841
2,2,1,4,3,2,7,1,3,3,1,1841
3,3,1,2,2,2,55,1,3,3,1,1841
3,3,1,1,1,1,58,1,3,3,1,1841
3,3,1,3,3,1,27,1,3,3,1,1841
3,3,1,7,4,2,2,1,3,3,1,1841
3,3,1,6,4,1,4,1,3,3,1,1841
3,3,1,5,5,2,27,1,3,3,1,1841
3,3,1,4,3,1,30,1,3,3,1,1841
4,4,1,2,3,1,44,1,3,3,1,1841
4,4,1,1,1,2,64,1,3,3,1,1841
4,4,1,3,3,2,29,1,3,3,1,1841
4,4,1,4,4,1,3,1,3,3,1,1841
5,5,1,1,1,1,70,1,3,3,1,1841
5,5,1,8,4,1,21,1,3,3,1,1841
5,5,1,7,4,1,19,1,3,3,1,1841
5,5,1,6,4,2,26,1,3,3,1,1841
5,5,1,5,4,2,27,1,3,3,1,1841
5,5,1,4,4,2,28,1,3,3,1,1841
5,5,1,3,3,2,48,1,3,3,1,1841
5,5,1,2,2,2,71,1,3,3,1,1841
6,1,1,6,4,1,5,1,3,4,2,1273
6,1,1,2,2,2,70,1,3,4,2,1273
6,1,1,3,3,2,42,1,3,4,2,1273
6,1,1,4,4,2,20,1,3,4,2,1273
6,1,1,1,1,1,81,1,3,4,2,1273
6,1,1,5,4,2,10,1,3,4,2,1273
7,2,1,1,1,2,70,1,3,4,2,1273
8,4,1,2,2,2,28,1,3,4,2,1273
8,4,1,1,1,1,28,1,3,4,2,1273
9,5,1,1,1,1,45,1,3,4,2,1273
9,5,1,2,2,2,33,1,3,4,2,1273
10,1,1,2,2,2,61,1,3,4,3,733
10,1,1,1,1,1,64,1,3,4,3,733
10,1,1,3,3,2,27,1,3,4,3,733
10,1,1,4,3,1,29,1,3,4,3,733
11,2,1,2,3,2,40,1,3,4,3,733
11,2,1,1,1,1,77,1,3,4,3,733
11,2,1,3,4,2,15,1,3,4,3,733
11,2,1,4,3,2,13,1,3,4,3,733
12,3,1,1,1,1,36,1,3,4,3,733
12,3,1,2,2,2,33,1,3,4,3,733
12,3,1,3,3,2,11,1,3,4,3,733
12,3,1,4,3,1,3,1,3,4,3,733
13,4,1,1,1,2,80,1,3,4,3,733
13,4,1,2,5,2,74,1,3,4,3,733
14,5,1,1,1,2,76,1,3,4,3,733
14,5,1,2,5,2,65,1,3,4,3,733
14,5,1,3,5,2,62,1,3,4,3,733
15,1,1,2,2,2,56,1,3,4,4,1256
15,1,1,1,1,1,63,1,3,4,4,1256
15,1,1,3,3,2,24,1,3,4,4,1256
15,1,1,4,3,2,20,1,3,4,4,1256
15,1,1,5,4,1,0,1,3,4,4,1256
16,2,1,2,2,2,71,1,3,4,4,1256
16,2,1,1,1,1,67,1,3,4,4,1256
16,2,1,3,6,2,51,1,3,4,4,1256
17,3,1,1,1,1,68,1,3,4,4,1256
17,3,1,2,2,2,65,1,3,4,4,1256
17,3,1,3,3,1,35,1,3,4,4,1256
18,4,1,1,1,2,72,1,3,4,4,1256
18,4,1,2,3,1,26,1,3,4,4,1256
18,4,1,3,3,1,30,1,3,4,4,1256
19,1,1,1,1,2,37,1,3,4,5,1357
20,2,1,1,1,2,70,1,3,4,5,1357
20,2,1,2,3,2,32,1,3,4,5,1357
21,3,1,1,1,1,67,1,3,4,5,1357
21,3,1,2,2,2,67,1,3,4,5,1357
21,3,1,3,3,1,36,1,3,4,5,1357
22,4,1,1,1,1,52,1,3,4,5,1357
22,4,1,5,3,1,20,1,3,4,5,1357
23,5,1,1,1,2,49,1,3,4,5,1357
23,5,1,2,3,1,20,1,3,4,5,1357
23,5,1,3,3,1,12,1,3,4,5,1357
24,1,1,1,1,2,83,1,3,5,6,1377
24,1,2,1,1,2,49,1,3,5,6,1377
25,2,1,1,1,1,61,1,3,5,6,1377
25,2,1,2,2,2,57,1,3,5,6,1377
26,3,1,2,3,2,24,1,3,5,6,1377
26,3,1,1,1,2,63,1,3,5,6,1377
27,5,1,3,3,1,16,1,3,5,6,1377
27,5,1,4,3,2,12,1,3,5,6,1377
27,5,1,2,3,1,18,1,3,5,6,1377
27,5,1,1,1,1,55,1,3,5,6,1377
27,5,1,5,2,2,50,1,3,5,6,1377
28,1,1,1,1,1,63,1,3,4,7,1124
28,1,1,2,2,2,60,1,3,4,7,1124
29,2,1,1,1,1,41,1,3,4,7,1124
29,2,1,2,2,2,40,1,3,4,7,1124
29,2,1,3,3,1,8,1,3,4,7,1124
29,2,1,4,3,1,6,1,3,4,7,1124
29,2,1,5,3,1,1,1,3,4,7,1124
30,3,1,2,2,2,63,1,3,4,7,1124
30,3,1,1,1,1,65,1,3,4,7,1124
30,3,1,3,3,2,23,1,3,4,7,1124
31,4,1,1,1,2,62,1,3,4,7,1124
31,4,1,2,3,1,34,1,3,4,7,1124
32,5,1,2,2,2,38,1,3,4,7,1124
32,5,1,1,1,1,45,1,3,4,7,1124
32,5,1,3,6,2,18,1,3,4,7,1124
32,5,1,6,5,1,32,1,3,4,7,1124
32,5,1,5,3,2,13,1,3,4,7,1124
32,5,1,4,3,1,15,1,3,4,7,1124
33,1,1,1,1,2,63,1,3,4,8,1398
34,2,1,3,5,1,19,1,3,4,8,1398
34,2,1,2,5,2,70,1,3,4,8,1398
34,2,1,1,1,2,35,1,3,4,8,1398
34,2,1,4,3,1,14,1,3,4,8,1398
35,4,1,1,1,1,67,1,3,4,8,1398
35,4,1,2,2,2,66,1,3,4,8,1398
35,4,1,5,4,2,4,1,3,4,8,1398
35,4,1,4,3,2,44,1,3,4,8,1398
35,4,1,3,5,1,49,1,3,4,8,1398
36,5,1,2,2,2,26,1,3,4,8,1398
36,5,1,1,1,1,34,1,3,4,8,1398
36,5,1,3,3,2,7,1,3,4,8,1398
36,5,1,4,3,2,7,1,3,4,8,1398
37,1,1,2,2,2,27,1,3,4,9,1318
37,1,1,1,1,1,33,1,3,4,9,1318
37,1,1,3,3,1,3,1,3,4,9,1318
37,1,1,4,3,1,0,1,3,4,9,1318
38,2,1,1,1,1,73,1,3,4,9,1318
38,2,1,2,2,2,68,1,3,4,9,1318
38,2,1,5,5,1,35,1,3,4,9,1318
38,2,1,4,3,2,36,1,3,4,9,1318
38,2,1,3,3,1,36,1,3,4,9,1318
39,3,1,1,1,2,75,1,3,4,9,1318
40,1,1,1,1,2,57,1,3,4,10,1348
40,1,1,2,3,1,34,1,3,4,10,1348
41,2,1,1,1,1,70,1,3,4,10,1348
41,2,1,2,2,2,71,1,3,4,10,1348
42,3,1,1,1,2,41,1,3,4,10,1348
42,3,1,2,3,2,22,1,3,4,10,1348
42,3,1,3,4,1,0,1,3,4,10,1348
43,4,1,1,1,2,69,1,3,4,10,1348
43,4,1,2,3,1,36,1,3,4,10,1348
43,4,1,3,3,1,29,1,3,4,10,1348
44,5,1,1,1,1,25,1,3,4,10,1348
44,5,1,4,3,1,3,1,3,4,10,1348
44,5,1,3,3,2,4,1,3,4,10,1348
44,5,1,2,2,2,23,1,3,4,10,1348
45,1,1,1,1,1,39,1,3,4,11,1253
45,1,1,2,2,2,55,1,3,4,11,1253
46,3,1,1,1,2,52,1,3,4,11,1253
46,3,1,2,3,1,26,1,3,4,11,1253
46,3,1,5,3,1,16,1,3,4,11,1253
46,3,1,4,3,1,19,1,3,4,11,1253
46,3,1,3,3,1,21,1,3,4,11,1253
46,3,1,6,3,1,14,1,3,4,11,1253
47,1,1,1,1,1,54,1,3,5,12,1753
47,1,1,2,2,2,47,1,3,5,12,1753
47,1,1,3,3,1,28,1,3,5,12,1753
47,1,1,4,3,2,23,1,3,5,12,1753
47,1,1,5,3,1,18,1,3,5,12,1753
48,2,1,1,1,1,67,1,3,5,12,1753
48,2,1,2,2,2,66,1,3,5,12,1753
49,3,1,3,3,2,31,1,3,5,12,1753
49,3,1,2,2,2,57,1,3,5,12,1753
49,3,1,4,3,1,29,1,3,5,12,1753
49,3,1,1,1,1,56,1,3,5,12,1753
50,4,1,1,1,2,86,1,3,5,12,1753
50,4,1,2,3,1,61,1,3,5,12,1753
50,4,1,3,3,1,57,1,3,5,12,1753
50,4,1,4,3,1,56,1,3,5,12,1753
51,5,1,2,2,2,62,1,3,5,12,1753
51,5,1,1,1,1,65,1,3,5,12,1753
51,5,1,3,3,1,24,1,3,5,12,1753
52,1,1,1,1,2,62,1,3,4,13,1307
52,1,1,2,6,2,63,1,3,4,13,1307
53,2,1,1,1,2,36,1,3,4,13,1307
53,2,1,2,3,2,13,1,3,4,13,1307
53,2,1,3,3,1,7,1,3,4,13,1307
53,2,1,4,3,1,3,1,3,4,13,1307
54,3,1,2,3,2,28,1,3,4,13,1307
54,3,1,1,1,2,57,1,3,4,13,1307
54,3,1,3,3,1,25,1,3,4,13,1307
55,4,1,3,3,2,4,1,3,4,13,1307
55,4,1,2,2,2,39,1,3,4,13,1307
55,4,1,1,1,1,42,1,3,4,13,1307
55,4,1,4,3,2,1,1,3,4,13,1307
56,5,1,3,3,1,16,1,3,4,13,1307
56,5,1,2,2,2,50,1,3,4,13,1307
56,5,1,1,1,1,54,1,3,4,13,1307
56,5,1,4,3,2,13,1,3,4,13,1307
57,1,1,1,1,1,32,1,3,4,14,1202
57,1,1,2,2,2,31,1,3,4,14,1202
57,1,1,3,3,2,10,1,3,4,14,1202
57,1,1,4,3,1,8,1,3,4,14,1202
58,2,1,1,1,1,68,1,3,4,14,1202
59,3,1,1,1,1,51,1,3,4,14,1202
59,3,1,2,2,2,51,1,3,4,14,1202
59,3,1,3,3,1,18,1,3,4,14,1202
60,5,1,1,1,1,67,1,3,4,14,1202
60,5,1,2,2,1,45,1,3,4,14,1202
60,5,1,3,3,2,16,1,3,4,14,1202
61,1,1,1,1,1,86,1,3,3,15,1647
61,1,1,2,2,2,79,1,3,3,15,1647
62,2,1,1,1,2,64,1,3,3,15,1647
63,3,1,1,1,1,50,1,3,3,15,1647
63,3,1,2,2,2,50,1,3,3,15,1647
63,3,1,3,3,1,25,1,3,3,15,1647
63,3,1,4,3,1,21,1,3,3,15,1647
63,3,1,5,3,2,20,1,3,3,15,1647
63,3,1,6,5,1,20,1,3,3,15,1647
64,4,1,1,1,2,84,1,3,3,15,1647
64,4,1,2,3,2,47,1,3,3,15,1647
64,4,1,3,4,2,9,1,3,3,15,1647
65,5,1,2,5,2,22,1,3,3,15,1647
65,5,1,1,1,1,49,1,3,3,15,1647
65,5,1,3,5,1,31,1,3,3,15,1647
66,1,1,1,1,2,58,1,3,4,16,1386
67,3,1,2,2,2,40,1,3,4,16,1386
67,3,1,1,1,1,52,1,3,4,16,1386
67,3,1,3,3,2,18,1,3,4,16,1386
67,3,1,5,4,2,2,1,3,4,16,1386
67,3,1,4,3,1,17,1,3,4,16,1386
68,4,1,1,1,1,52,1,3,4,16,1386
68,4,1,3,3,1,23,1,3,4,16,1386
68,4,1,2,2,2,53,1,3,4,16,1386
69,5,1,1,1,2,75,1,3,4,16,1386
70,1,1,2,5,1,34,1,3,3,17,1625
70,1,1,1,1,1,49,1,3,3,17,1625
70,1,1,3,5,2,34,1,3,3,17,1625
71,3,1,2,5,1,57,1,3,3,17,1625
71,3,1,4,3,2,3,1,3,3,17,1625
71,3,1,3,3,2,10,1,3,3,17,1625
71,3,1,1,1,2,31,1,3,3,17,1625
72,4,1,3,3,2,30,1,3,3,17,1625
72,4,1,6,4,2,2,1,3,3,17,1625
72,4,1,4,4,2,9,1,3,3,17,1625
72,4,1,5,4,1,7,1,3,3,17,1625
72,4,1,1,1,2,62,1,3,3,17,1625
72,4,1,2,3,1,27,1,3,3,17,1625
73,5,1,1,1,1,54,1,3,3,17,1625
73,5,1,2,3,1,24,1,3,3,17,1625
74,1,1,2,2,2,53,1,3,4,18,1240
74,1,1,1,1,1,55,1,3,4,18,1240
75,2,1,2,2,2,28,1,3,4,18,1240
75,2,1,1,1,1,29,1,3,4,18,1240
75,2,1,4,3,1,6,1,3,4,18,1240
75,2,1,5,3,2,7,1,3,4,18,1240
75,2,1,3,5,1,29,1,3,4,18,1240
75,2,1,7,5,2,0,1,3,4,18,1240
75,2,1,6,3,2,1,1,3,4,18,1240
76,3,1,5,3,2,0,1,3,4,18,1240
76,3,1,4,3,1,6,1,3,4,18,1240
76,3,1,3,3,2,9,1,3,4,18,1240
76,3,1,2,2,2,30,1,3,4,18,1240
76,3,1,1,1,1,39,1,3,4,18,1240
77,4,1,1,1,1,29,1,3,4,18,1240
77,4,1,5,3,2,1,1,3,4,18,1240
77,4,1,4,3,2,6,1,3,4,18,1240
77,4,1,3,3,2,11,1,3,4,18,1240
77,4,1,2,2,2,27,1,3,4,18,1240
78,5,1,1,1,2,63,1,3,4,18,1240
78,5,1,2,3,1,42,1,3,4,18,1240
79,1,1,2,2,2,39,1,3,4,19,1280
79,1,1,1,1,1,38,1,3,4,19,1280
79,1,1,3,3,2,15,1,3,4,19,1280
79,1,1,4,3,1,14,1,3,4,19,1280
80,2,1,1,1,1,78,1,3,4,19,1280
81,3,1,1,1,1,54,1,3,4,19,1280
81,3,1,2,2,2,54,1,3,4,19,1280
81,3,1,3,3,1,15,1,3,4,19,1280
82,4,1,1,1,1,58,1,3,4,19,1280
82,4,1,2,2,2,55,1,3,4,19,1280
82,4,1,3,3,1,17,1,3,4,19,1280
83,1,1,1,1,1,32,1,3,4,20,1316
83,1,1,4,3,2,3,1,3,4,20,1316
83,1,1,3,3,2,7,1,3,4,20,1316
83,1,1,2,2,2,32,1,3,4,20,1316
84,2,1,1,1,1,32,1,3,4,20,1316
85,3,1,3,3,1,23,1,3,4,20,1316
85,3,1,2,2,2,49,1,3,4,20,1316
85,3,1,1,1,1,49,1,3,4,20,1316
85,3,1,4,3,1,24,1,3,4,20,1316
