FOLIO,VIV_SEL,P0_1,P0_2,P0_3,P0_4_1,P0_4_2,P1_1,P1_2,TLOC,REGION,EST_DIS,UPM_DIS,FAC_VIV
1,1,1,5,0,2,1,2,1,1,3,3,1,1841
2,2,2,3,1,2,1,4,1,1,3,3,1,1841
3,3,2,3,1,2,2,7,1,1,3,3,1,1841
4,4,3,5,2,1,1,4,1,1,3,3,1,1841
5,5,3,5,1,1,1,8,1,1,3,3,1,1841
6,1,3,4,1,1,1,6,1,1,3,4,2,1273
7,2,1,3,1,2,2,1,1,1,3,4,2,1273
8,4,1,6,1,2,1,2,1,1,3,4,2,1273
9,5,1,3,2,1,1,2,1,1,3,4,2,1273
10,1,4,12,2,1,1,4,1,1,3,4,3,733
11,2,4,8,2,1,1,4,1,1,3,4,3,733
12,3,3,4,1,1,1,4,1,1,3,4,3,733
13,4,3,6,4,2,2,2,1,1,3,4,3,733
14,5,2,5,1,1,1,3,1,1,3,4,3,733
15,1,3,4,2,1,1,5,1,1,3,4,4,1256
16,2,3,5,1,1,1,3,1,1,3,4,4,1256
17,3,3,4,1,1,1,3,1,1,3,4,4,1256
18,4,3,5,1,2,1,3,1,1,3,4,4,1256
19,1,1,5,2,2,2,1,1,1,3,4,5,1357
20,2,2,4,2,1,1,2,1,1,3,4,5,1357
21,3,2,5,2,1,1,3,1,1,3,4,5,1357
22,4,2,6,2,2,1,2,1,1,3,4,5,1357
23,5,2,4,2,1,1,3,1,1,3,4,5,1357
24,1,2,8,4,1,1,2,2,1,3,5,6,1377
25,2,1,5,3,1,1,2,1,1,3,5,6,1377
26,3,3,6,3,1,1,2,1,1,3,5,6,1377
27,5,3,8,4,1,1,5,1,1,3,5,6,1377
28,1,2,4,2,2,1,2,1,1,3,4,7,1124
29,2,2,3,1,1,2,5,1,1,3,4,7,1124
30,3,2,4,1,1,1,3,1,1,3,4,7,1124
31,4,2,3,1,1,1,2,1,1,3,4,7,1124
32,5,3,5,1,2,1,6,1,1,3,4,7,1124
33,1,1,4,1,2,2,1,1,1,3,4,8,1398
34,2,3,7,1,1,1,4,1,1,3,4,8,1398
35,4,2,5,2,1,1,5,1,1,3,4,8,1398
36,5,4,6,2,1,1,4,1,1,3,4,8,1398
