"FOLIO","VIV_SEL","HOGAR","N_REN","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","P2_3","FAC_HOG"
1,1,1,2,1,3,2,60,3,1,3,1841
1,1,1,1,1,3,2,83,3,1,1,1841
2,2,1,1,1,3,2,33,3,1,1,1841
2,2,1,2,1,3,1,15,3,1,3,1841
2,2,1,3,1,3,2,13,3,1,3,1841
2,2,1,4,1,3,2,7,3,1,3,1841
3,3,1,2,1,3,2,55,3,1,2,1841
3,3,1,1,1,3,1,58,3,1,1,1841
3,3,1,3,1,3,1,27,3,1,3,1841
3,3,1,7,1,3,2,2,3,1,4,1841
3,3,1,6,1,3,1,4,3,1,4,1841
3,3,1,5,1,3,2,27,3,1,5,1841
3,3,1,4,1,3,1,30,3,1,3,1841
4,4,1,2,1,3,1,44,3,1,3,1841
4,4,1,1,1,3,2,64,3,1,1,1841
4,4,1,3,1,3,2,29,3,1,3,1841
4,4,1,4,1,3,1,3,3,1,4,1841
5,5,1,1,1,3,1,70,3,1,1,1841
5,5,1,8,1,3,1,21,3,1,4,1841
5,5,1,7,1,3,1,19,3,1,4,1841
5,5,1,6,1,3,2,26,3,1,4,1841
5,5,1,5,1,3,2,27,3,1,4,1841
5,5,1,4,1,3,2,28,3,1,4,1841
5,5,1,3,1,3,2,48,3,1,3,1841
5,5,1,2,1,3,2,71,3,1,2,1841
6,1,1,6,1,3,1,5,4,2,4,1273
6,1,1,2,1,3,2,70,4,2,2,1273
6,1,1,3,1,3,2,42,4,2,3,1273
6,1,1,4,1,3,2,20,4,2,4,1273
6,1,1,1,1,3,1,81,4,2,1,1273
6,1,1,5,1,3,2,10,4,2,4,1273
7,2,1,1,1,3,2,70,4,2,1,1273
8,4,1,2,1,3,2,28,4,2,2,1273
8,4,1,1,1,3,1,28,4,2,1,1273
9,5,1,1,1,3,1,45,4,2,1,1273
9,5,1,2,1,3,2,33,4,2,2,1273
10,1,1,2,1,3,2,61,4,3,2,733
10,1,1,1,1,3,1,64,4,3,1,733
10,1,1,3,1,3,2,27,4,3,3,733
10,1,1,4,1,3,1,29,4,3,3,733
11,2,1,2,1,3,2,40,4,3,3,733
11,2,1,1,1,3,1,77,4,3,1,733
11,2,1,3,1,3,2,15,4,3,4,733
11,2,1,4,1,3,2,13,4,3,3,733
12,3,1,1,1,3,1,36,4,3,1,733
12,3,1,2,1,3,2,33,4,3,2,733
12,3,1,3,1,3,2,11,4,3,3,733
12,3,1,4,1,3,1,3,4,3,3,733
13,4,1,1,1,3,2,80,4,3,1,733
13,4,1,2,1,3,2,74,4,3,5,733
14,5,1,1,1,3,2,76,4,3,1,733
14,5,1,2,1,3,2,65,4,3,5,733
14,5,1,3,1,3,2,62,4,3,5,733
15,1,1,2,1,3,2,56,4,4,2,1256
15,1,1,1,1,3,1,63,4,4,1,1256
15,1,1,3,1,3,2,24,4,4,3,1256
15,1,1,4,1,3,2,20,4,4,3,1256
15,1,1,5,1,3,1,0,4,4,4,1256
16,2,1,2,1,3,2,71,4,4,2,1256
16,2,1,1,1,3,1,67,4,4,1,1256
16,2,1,3,1,3,2,51,4,4,6,1256
17,3,1,1,1,3,1,68,4,4,1,1256
17,3,1,2,1,3,2,65,4,4,2,1256
17,3,1,3,1,3,1,35,4,4,3,1256
18,4,1,1,1,3,2,72,4,4,1,1256
18,4,1,2,1,3,1,26,4,4,3,1256
18,4,1,3,1,3,1,30,4,4,3,1256
19,1,1,1,1,3,2,37,4,5,1,1357
20,2,1,1,1,3,2,70,4,5,1,1357
20,2,1,2,1,3,2,32,4,5,3,1357
21,3,1,1,1,3,1,67,4,5,1,1357
21,3,1,2,1,3,2,67,4,5,2,1357
21,3,1,3,1,3,1,36,4,5,3,1357
