"FOLIO","VIV_SEL","HOGAR","EST_DIS","UPM_DIS","P2_8","FAC_HOG","TLOC","REGION","P0_1","P0_2","P0_3","P0_4_1","P0_4_2","P1_1","P1_2"
1,1,1,3,1,1,1841,1,3,1,5,0,2,1,2,1
2,2,1,3,1,1,1841,1,3,2,3,1,2,1,4,1
3,3,1,3,1,2,1841,1,3,2,3,1,2,2,7,1
4,4,1,3,1,2,1841,1,3,3,5,2,1,1,4,1
5,5,1,3,1,6,1841,1,3,3,5,1,1,1,8,1
6,1,1,4,2,2,1273,1,3,3,4,1,1,1,6,1
7,2,1,4,2,0,1273,1,3,1,3,1,2,2,1,1
8,4,1,4,2,2,1273,1,3,1,6,1,2,1,2,1
9,5,1,4,2,2,1273,1,3,1,3,2,1,1,2,1
10,1,1,4,3,3,733,1,3,4,12,2,1,1,4,1
11,2,1,4,3,0,733,1,3,4,8,2,1,1,4,1
12,3,1,4,3,2,733,1,3,3,4,1,1,1,4,1
13,4,1,4,3,0,733,1,3,3,6,4,2,2,2,1
14,5,1,4,3,3,733,1,3,2,5,1,1,1,3,1
15,1,1,4,4,2,1256,1,3,3,4,2,1,1,5,1
16,2,1,4,4,1,1256,1,3,3,5,1,1,1,3,1
17,3,1,4,4,1,1256,1,3,3,4,1,1,1,3,1
18,4,1,4,4,2,1256,1,3,3,5,1,2,1,3,1
19,1,1,4,5,1,1357,1,3,1,5,2,2,2,1,1
20,2,1,4,5,1,1357,1,3,2,4,2,1,1,2,1
21,3,1,4,5,2,1357,1,3,2,5,2,1,1,3,1
22,4,1,4,5,1,1357,1,3,2,6,2,2,1,2,1
23,5,1,4,5,1,1357,1,3,2,4,2,1,1,3,1
24,1,1,5,6,0,1377,1,3,2,8,4,1,1,2,2
24,1,2,5,6,1,1377,1,3,2,8,4,1,1,2,2
25,2,1,5,6,1,1377,1,3,1,5,3,1,1,2,1
26,3,1,5,6,2,1377,1,3,3,6,3,1,1,2,1
27,5,1,5,6,1,1377,1,3,3,8,4,1,1,5,1
28,1,1,4,7,1,1124,1,3,2,4,2,2,1,2,1
29,2,1,4,7,1,1124,1,3,2,3,1,1,2,5,1
30,3,1,4,7,1,1124,1,3,2,4,1,1,1,3,1
31,4,1,4,7,2,1124,1,3,2,3,1,1,1,2,1
32,5,1,4,7,2,1124,1,3,3,5,1,2,1,6,1
33,1,1,4,8,1,1398,1,3,1,4,1,2,2,1,1
34,2,1,4,8,3,1398,1,3,3,7,1,1,1,4,1
35,4,1,4,8,3,1398,1,3,2,5,2,1,1,5,1
36,5,1,4,8,2,1398,1,3,4,6,2,1,1,4,1
37,1,1,4,9,1,1318,1,3,2,4,1,1,1,4,1
38,2,1,4,9,2,1318,1,3,3,4,2,2,1,5,1
39,3,1,4,9,0,1318,1,3,1,4,1,2,1,1,1
40,1,1,4,10,2,1348,1,3,3,4,1,1,2,2,1
41,2,1,4,10,0,1348,1,3,1,3,1,1,1,2,1
42,3,1,4,10,1,1348,1,3,2,3,1,2,2,3,1
43,4,1,4,10,3,1348,1,3,3,4,1,2,1,3,1
44,5,1,4,10,1,1348,1,3,2,4,1,2,2,4,1
45,1,1,4,11,2,1253,1,3,1,2,1,1,2,2,1
46,3,1,4,11,1,1253,1,3,3,6,1,2,1,6,1
47,1,1,5,12,4,1753,1,3,3,6,2,1,1,5,1
48,2,1,5,12,0,1753,1,3,2,4,2,1,1,2,1
49,3,1,5,12,3,1753,1,3,3,6,3,1,1,4,1
50,4,1,5,12,3,1753,1,3,3,4,1,1,1,4,1
51,5,1,5,12,0,1753,1,3,3,8,2,1,1,3,1
52,1,1,4,13,2,1307,1,3,1,4,1,2,2,2,1
53,2,1,4,13,1,1307,1,3,2,3,1,2,2,4,1
54,3,1,4,13,3,1307,1,3,3,4,1,1,1,3,1
55,4,1,4,13,2,1307,1,3,2,3,1,1,2,4,1
56,5,1,4,13,2,1307,1,3,2,3,1,2,1,4,1
57,1,1,4,14,2,1202,1,3,2,3,1,1,1,4,1
