"LLAVESDE","LLAVEVIV","LLAVEHOG","PAREN","SEXO","EDAD","FOLIO","VIV_SEL","HOGAR","N_REN","TLOC","REGION","EST_DIS","UPM_DIS","FAC_HOG"
101101,101,1011,1,1,38,1,1,1,1,1,1,17,196,633
101102,101,1011,2,2,35,1,1,1,2,1,1,17,196,633
101103,101,1011,3,2,10,1,1,1,3,1,1,17,196,633
210101,210,2101,1,1,36,2,10,1,1,3,6,179,2088,1811
303101,303,3031,1,2,50,3,3,1,1,1,4,50,763,485
303102,303,3031,3,1,20,3,3,1,2,1,4,50,763,485
401101,401,4011,1,1,59,4,1,1,1,1,1,17,182,739
503101,503,5031,1,2,37,5,3,1,1,1,4,49,631,3756
503102,503,5031,3,2,19,5,3,1,2,1,4,49,631,3756
503103,503,5031,3,1,17,5,3,1,3,1,4,49,631,3756
503104,503,5031,3,2,15,5,3,1,4,1,4,49,631,3756
603101,603,6031,1,1,58,6,3,1,1,1,6,40,459,4568
603102,603,6031,2,2,53,6,3,1,2,1,6,40,459,4568
603103,603,6031,3,1,25,6,3,1,3,1,6,40,459,4568
603104,603,6031,3,1,23,6,3,1,4,1,6,40,459,4568
704101,704,7041,1,1,40,7,4,1,1,4,6,111,1380,3726
704102,704,7041,2,2,36,7,4,1,2,4,6,111,1380,3726
704103,704,7041,3,2,14,7,4,1,3,4,6,111,1380,3726
704104,704,7041,3,1,11,7,4,1,4,4,6,111,1380,3726
704105,704,7041,3,2,4,7,4,1,5,4,6,111,1380,3726
704106,704,7041,3,2,1,7,4,1,6,4,6,111,1380,3726
803101,803,8031,1,1,22,8,3,1,1,2,2,135,1585,1797
803102,803,8031,2,2,24,8,3,1,2,2,2,135,1585,1797
803103,803,8031,3,2,1,8,3,1,3,2,2,135,1585,1797
904101,904,9041,1,1,46,9,4,1,1,1,2,107,1297,3504
904102,904,9041,2,2,41,9,4,1,2,1,2,107,1297,3504
904103,904,9041,3,2,19,9,4,1,3,1,2,107,1297,3504
904104,904,9041,3,1,15,9,4,1,4,1,2,107,1297,3504
1004101,1004,10041,1,1,37,10,4,1,1,1,1,11,136,2692
1004102,1004,10041,2,2,38,10,4,1,2,1,1,11,136,2692
1004103,1004,10041,3,1,6,10,4,1,3,1,1,11,136,2692
1004104,1004,10041,3,1,4,10,4,1,4,1,1,11,136,2692
1102101,1102,11021,1,1,77,11,2,1,1,1,3,127,1481,2049
1102102,1102,11021,2,2,53,11,2,1,2,1,3,127,1481,2049
1102103,1102,11021,3,2,17,11,2,1,3,1,3,127,1481,2049
1102104,1102,11021,3,2,16,11,2,1,4,1,3,127,1481,2049
