"P0_1","P0_2","P0_3","P0_4_1","P0_4_2","P1_1","P1_2","FOLIO","VIV_SEL","ID_ENT","FAC_VIV"
2,4,1,1,1,3,1,13353,1,3,613
1,3,1,1,1,1,1,13354,10,31,1811
2,4,1,1,1,2,1,13355,3,9,485
1,4,1,1,1,1,1,13356,1,3,715
3,6,2,2,1,4,1,13357,3,9,3756
2,4,1,2,1,4,1,13358,3,7,4492
1,3,0,1,2,6,1,13359,4,20,3726
1,3,1,2,2,3,1,13360,3,24,1797
3,4,1,2,1,4,1,13361,4,19,3504
3,4,1,1,1,4,1,13362,4,2,2692
3,5,2,1,1,4,1,13363,2,22,2049
3,5,2,1,1,5,1,13364,1,11,19030
2,4,1,2,1,5,1,13365,3,27,1596
3,3,0,2,1,2,1,13366,8,7,3356
1,4,1,2,1,2,1,13367,4,17,1518
3,4,1,2,1,6,1,13368,9,14,8757
3,5,1,1,1,4,1,13369,4,5,1424
2,3,1,2,2,2,1,13370,16,13,2426
5,8,2,1,1,5,1,13371,4,8,2710
1,2,1,2,2,1,1,13372,8,28,1343
3,5,2,1,1,4,1,13373,5,15,11960
3,3,1,1,1,3,1,13374,5,11,5503
1,3,1,2,2,1,1,13375,18,16,4784
2,4,1,1,1,2,1,13376,13,2,1922
1,5,2,1,1,2,1,13377,2,9,2939
2,5,2,1,1,4,2,13378,1,32,1518
2,5,1,1,1,1,1,13379,1,28,2054
2,3,0,2,2,4,1,13380,5,11,19751
2,2,1,1,1,6,1,13381,20,27,2385
3,5,2,2,2,5,1,13382,1,9,2891
3,4,0,2,1,7,1,13383,2,21,6156
2,3,1,2,2,2,1,13384,9,16,3018
2,3,1,2,2,4,1,13385,16,27,2396
3,4,1,1,1,4,1,13386,3,5,1435
2,2,1,1,1,6,1,13387,4,26,2173
3,7,3,1,1,1,1,13388,3,22,1700
2,3,1,1,1,5,1,13389,4,2,2455
2,3,1,1,1,3,1,13390,4,28,1911
2,6,1,2,1,3,1,13391,3,9,4271
2,4,1,2,2,2,1,13392,14,12,2579
2,4,1,1,1,3,1,13393,2,13,2679
3,4,1,2,1,5,1,13394,15,21,6595
3,5,2,1,1,3,1,13395,15,8,3070
1,2,0,2,2,1,1,13396,5,15,15661
2,4,0,2,2,2,1,13397,11,27,1493
